"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BOKL","2022-03-31","262","268","262","264","0.11","14527"
"BOKL","2022-03-30","265","265","261.6","263.7","0.65","25382"
"BOKL","2022-03-29","264.1","268","262","262","-0.76","40232"
"BOKL","2022-03-28","263.8","267","263","264","-0.71","32488"
"BOKL","2022-03-27","269","271.5","263.8","265.9","-2.06","48875"
"BOKL","2022-03-24","278","278","271.5","271.5","-1.99","35226"
"BOKL","2022-03-23","271","277","270","277","1.28","32577"
"BOKL","2022-03-22","277","277","271","273.5","-0.44","30626"
"BOKL","2022-03-21","264","275","264","274.7","3.43","29092"
"BOKL","2022-03-20","270","270","265.2","265.6","-0.49","23454"
"BOKL","2022-03-16","266","268.5","264.3","266.9","0.34","21093"
"BOKL","2022-03-15","267","268","263","266","-0.37","17598"
"BOKL","2022-03-14","272","272","262","267","0.00","7287"
"BOKL","2022-03-13","265.2","271","264","267","2.69","39620"
"BOKL","2022-03-10","253.5","260","253.5","260","1.96","36267"
"BOKL","2022-03-09","256","264","254","255","-1.54","25345"
"BOKL","2022-03-07","264","264","255.1","259","0.00","24943"
"BOKL","2022-03-06","252","265","251","259","1.17","27188"
"BOKL","2022-03-02","263.2","264","255","256","-2.77","55508"
"BOKL","2022-02-28","269","271","263.2","263.3","-1.02","23255"
"BOKL","2022-02-27","268","269.9","265.1","266","-0.93","30673"
"BOKL","2022-02-24","273","274","267.1","268.5","-2.36","44553"
"BOKL","2022-02-23","275","276","274","275","-0.72","18348"
"BOKL","2022-02-22","279","279","274","277","0.73","24183"
"BOKL","2022-02-21","271.8","275","271","275","1.10","22471"
"BOKL","2022-02-20","277","277","271.7","272","-2.65","35074"
"BOKL","2022-02-17","280","285","279.4","279.4","-0.92","22271"
"BOKL","2022-02-16","280","284","276","282","0.53","17973"
"BOKL","2022-02-15","275","280.5","275","280.5","1.26","29725"
"BOKL","2022-02-14","276","281.6","274","277","-0.72","30133"
"BOKL","2022-02-13","282","283","277","279","-2.45","36018"
"BOKL","2022-02-10","292","292","283","286","-0.35","31322"
"BOKL","2022-02-09","287","291","285","287","0.00","34595"
"BOKL","2022-02-08","293","301","287","287","0.00","28357"
"BOKL","2022-02-07","285.3","292","285.3","290","-0.34","38993"
"BOKL","2022-02-06","292","295","288","291","-0.41","31463"
"BOKL","2022-02-03","300","305","292","292.2","-0.78","27569"
"BOKL","2022-02-01","295","297","290","294.5","0.82","26993"
"BOKL","2022-01-31","300","300","292","292.1","-1.98","17442"
"BOKL","2022-01-30","287","303","287","298","4.52","42488"
"BOKL","2022-01-27","290","290","285.1","285.1","-1.08","26226"
"BOKL","2022-01-26","295","295","287.6","288.2","-2.64","32678"
"BOKL","2022-01-25","305.8","305.8","288.3","296","-1.30","44713"
"BOKL","2022-01-24","314.2","314.2","295","299.9","-2.66","61509"
"BOKL","2022-01-23","323.3","323.3","307.9","308.1","-2.81","39106"
"BOKL","2022-01-20","312.5","317","310","317","-0.31","41551"
"BOKL","2022-01-19","326","326","315","318","-0.59","47069"
"BOKL","2022-01-18","318","330","312","319.9","0.63","90351"
"BOKL","2022-01-17","321","321","315","317.9","0.16","39437"
"BOKL","2022-01-16","306","318","305.1","317.4","5.80","137560"
"BOKL","2022-01-13","300","300","290","300","0.67","48560"
"BOKL","2022-01-12","297","303","292","298","0.34","64071"
"BOKL","2022-01-11","295","298","292","297","0.34","32036"
"BOKL","2022-01-10","301","304.5","293.1","296","-1.63","57373"
"BOKL","2022-01-09","295","300.9","293.1","300.9","3.08","58429"
"BOKL","2022-01-06","281","292","281","291.9","3.51","43100"
"BOKL","2022-01-05","296.8","296.8","282","282","-3.09","47134"
"BOKL","2022-01-04","275","291","273.1","291","6.20","59764"
"BOKL","2022-01-03","269","274.3","266","274","1.86","32290"
"BOKL","2022-01-02","265","269.8","261.1","269","1.51","21592"
"BOKL","2021-12-29","267","267.1","262","265","1.15","25584"
"BOKL","2021-12-28","266","268","259.7","262","-2.24","21945"
"BOKL","2021-12-27","270","275","267","268","-1.11","36037"
"BOKL","2021-12-26","266","271.3","265.2","271","2.65","47457"
"BOKL","2021-12-23","266.2","268","260","264","1.15","32047"
"BOKL","2021-12-22","259","264","255","261","2.76","32410"
"BOKL","2021-12-21","252","255","250","254","2.42","23675"
"BOKL","2021-12-20","259","259","246.3","248","-2.36","29390"
"BOKL","2021-12-16","258.9","258.9","253","254","-1.89","21503"
"BOKL","2021-12-15","263","270","256.3","258.9","0.35","39072"
"BOKL","2021-12-14","250","258","246","258","4.88","20108"
"BOKL","2021-12-13","250","250","240.2","246","-2.03","31386"
"BOKL","2021-12-12","264","264","250.1","251.1","-4.34","36608"
"BOKL","2021-12-09","265","266","259.7","262.5","-0.94","23833"
"BOKL","2021-12-08","265","268","262.9","265","-1.16","19994"
"BOKL","2021-12-07","272.3","274","268","268.1","0.41","30787"
"BOKL","2021-12-06","260","267","252","267","1.91","36248"
"BOKL","2021-12-05","272","275","261.8","262","-3.68","33716"
"BOKL","2021-12-02","279","280","270","272","-2.51","38523"
"BOKL","2021-12-01","285","285","278.6","279","-1.06","32857"
"BOKL","2021-11-30","291","291","279.3","282","-2.76","28457"
"BOKL","2021-11-29","294","295.8","287.1","290","-1.69","28744"
"BOKL","2021-11-28","305","305","294","295","-4.84","74634"
"BOKL","2021-11-25","338","345","336","341","1.34","157242"
"BOKL","2021-11-24","340","340","330","336.5","-0.15","36015"
"BOKL","2021-11-23","342.5","342.5","335","337","-0.79","37507"
"BOKL","2021-11-22","338","341.7","338","339.7","0.50","51675"
"BOKL","2021-11-21","334.1","339","333","338","1.17","34696"
"BOKL","2021-11-18","341","342","334","334.1","-1.74","34388"
"BOKL","2021-11-17","342","342","338","340","0.59","40000"
"BOKL","2021-11-16","332","338","325","338","2.11","46798"
"BOKL","2021-11-15","337.5","343","327","331","0.00","50699"
"BOKL","2021-11-14","326","331","320","331","1.13","38623"
"BOKL","2021-11-11","334","335","327.3","327.3","-2.01","56707"
"BOKL","2021-11-09","338","338","332","334","-1.18","46748"
"BOKL","2021-11-08","349","349.8","338","338","-1.46","42337"
"BOKL","2021-11-03","339","344.7","339","343","-0.23","47939"
"BOKL","2021-11-02","347","352","340","343.8","-0.92","59874"
"BOKL","2021-11-01","352","352","346","347","-1.42","53464"
"BOKL","2021-10-31","355","357","348","352","-0.85","48640"
"BOKL","2021-10-28","357","358","350","355","-0.28","31364"
"BOKL","2021-10-27","365.1","367","350","356","-0.56","70922"
"BOKL","2021-10-26","340.1","360","340.1","358","7.35","157153"
"BOKL","2021-10-25","324","334","320","333.5","4.55","33141"
"BOKL","2021-10-24","317","320","312.1","319","0.85","25194"
"BOKL","2021-10-21","329","329.4","316","316.3","-2.07","51762"
"BOKL","2021-10-20","318","331","318","323","1.89","43272"
"BOKL","2021-10-19","330","330","314.1","317","-3.94","63948"
"BOKL","2021-10-18","335.5","340","330","330","-2.65","44294"
"BOKL","2021-10-17","345","349","337","339","-0.76","18283"
"BOKL","2021-10-11","341","342","335","341.6","-0.70","27522"
"BOKL","2021-10-10","345","346","342","344","1.18","34371"
"BOKL","2021-10-06","345","346","337","340","0.29","53099"
"BOKL","2021-10-05","331.1","342","331.1","339","0.92","26769"
"BOKL","2021-10-04","331","340","330","335.9","0.12","42962"
"BOKL","2021-10-03","346","346","334.4","335.5","-3.03","63022"
"BOKL","2021-09-30","352.5","356","344.5","346","-1.70","55196"
"BOKL","2021-09-29","351","354","331","352","2.03","47450"
"BOKL","2021-09-28","360","360","343","345","-3.50","66481"
"BOKL","2021-09-27","369","371","356","357.5","-3.90","68286"
"BOKL","2021-09-26","375","388.6","367","372","1.09","127018"
"BOKL","2021-09-23","361.6","376","355","368","3.66","160069"
"BOKL","2021-09-22","345","359","343","355","3.83","53066"
"BOKL","2021-09-21","336","346.8","322.3","341.9","0.56","81958"
"BOKL","2021-09-20","355","358","340","340","-3.68","78732"
"BOKL","2021-09-16","365","365","350.1","353","-3.29","108878"
"BOKL","2021-09-15","368","369","362","365","-1.08","45729"
"BOKL","2021-09-14","376","376","369","369","-0.54","45011"
"BOKL","2021-09-13","375","375","365.3","371","0.57","68857"
"BOKL","2021-09-12","370","371","365","368.9","0.46","51034"
"BOKL","2021-09-09","362.2","370.3","362.2","367.2","0.30","52194"
"BOKL","2021-09-08","370","380","365","366.1","-1.85","71024"
"BOKL","2021-09-07","381","384","369","373","-1.06","94212"
"BOKL","2021-09-06","359","379","354.9","377","4.14","83845"
"BOKL","2021-09-05","371","371","346","362","-2.56","133417"
"BOKL","2021-09-02","379","379","370","371.5","-0.93","62564"
"BOKL","2021-09-01","377","379","368","375","1.35","80771"
"BOKL","2021-08-31","370","374","365.1","370","-1.60","83526"
"BOKL","2021-08-29","391","392","374","376","-2.59","150496"
"BOKL","2021-08-26","387","391","382","386","-0.26","96985"
"BOKL","2021-08-25","393","395","385.2","387","-2.03","71770"
"BOKL","2021-08-24","400","402","392","395","-0.50","62450"
"BOKL","2021-08-19","402","406","395","397","-0.75","75582"
"BOKL","2021-08-18","400","405.9","391","400","1.01","113654"
"BOKL","2021-08-17","400","406","396","396","-1.49","96987"
"BOKL","2021-08-16","414.1","414.1","400","402","-0.99","89418"
"BOKL","2021-08-15","412","415","400","406","-0.98","150356"
"BOKL","2021-08-12","410","415","405.3","410","0.00","114375"
"BOKL","2021-08-11","413","419","407","410","-0.61","99506"
"BOKL","2021-08-10","401","416","400.1","412.5","2.23","125713"
"BOKL","2021-08-09","405","408","401.1","403.5","-0.37","65145"
"BOKL","2021-08-08","405","411","404","405","-0.49","78666"
"BOKL","2021-08-05","406","409","405","407","0.25","98490"
"BOKL","2021-08-04","405","408","405","406","0.00","91613"
"BOKL","2021-08-03","409","410","404","406","-0.25","92568"
"BOKL","2021-08-02","410","412","405","407","-0.02","84357"
"BOKL","2021-08-01","405","411","404.1","407.1","0.30","76109"
"BOKL","2021-07-29","410","410","402","405.9","-0.51","59840"
"BOKL","2021-07-28","413","418","406","408","-0.97","82238"
"BOKL","2021-07-27","410","415","395","412","-0.60","242136"
"BOKL","2021-07-26","433.2","433.2","413.5","414.5","-2.42","259511"
"BOKL","2021-07-25","405","425","405","424.8","5.70","353993"
"BOKL","2021-07-22","399.5","405","393","401.9","1.34","224926"
"BOKL","2021-07-20","400","400","393","396.6","-0.83","74341"
"BOKL","2021-07-19","400","408","393","399.9","1.63","199765"
"BOKL","2021-07-18","384","398","382","393.5","3.83","188959"
"BOKL","2021-07-15","380","383","377","379","-0.26","51831"
"BOKL","2021-07-14","385","385","378","380","0.00","41306"
"BOKL","2021-07-13","378","382","372","380","0.80","47281"
"BOKL","2021-07-12","388","388","375","377","-1.57","85241"
"BOKL","2021-07-11","378","384","377","383","2.41","123897"
"BOKL","2021-07-08","366","375","364","374","2.19","56425"
"BOKL","2021-07-07","368","370","365","366","-0.54","49494"
"BOKL","2021-07-06","360","370","360","368","0.00","42873"
"BOKL","2021-07-05","371","375","365","368","-0.81","59147"
"BOKL","2021-07-04","371","377","370","371","0.00","59242"
"BOKL","2021-07-01","371","376","370","371","0.00","51008"
"BOKL","2021-06-30","370","371","363","371","-0.80","75397"
"BOKL","2021-06-29","385","385","373","374","-1.58","79742"
"BOKL","2021-06-28","382","389","379","380","0.26","99267"
"BOKL","2021-06-27","370","387","367","379","2.43","132742"
"BOKL","2021-06-24","375","378","363","370","-0.54","81205"
"BOKL","2021-06-23","383","387","371","372","-2.36","91823"
"BOKL","2021-06-22","368","381","364","381","3.53","153135"
"BOKL","2021-06-21","377","384","367","368","-2.39","180976"
"BOKL","2021-06-20","390","396","374","377","-2.08","236674"
"BOKL","2021-06-17","390","390","382","385","-0.52","145550"
"BOKL","2021-06-16","395","399","386","387","-0.77","243331"
"BOKL","2021-06-15","400","405","389","390","-1.52","296435"
"BOKL","2021-06-14","385","402","380","396","5.04","325389"
"BOKL","2021-06-13","377","385","369","377","-0.26","240816"
"BOKL","2021-06-10","386","386","370","378","-1.56","219543"
"BOKL","2021-06-09","390","395","381","384","-0.01","187434"
"BOKL","2021-06-08","382","393","376","389","1.83","285142"
"BOKL","2021-06-07","395","395","374","382","-1.29","375007"
"BOKL","2021-06-06","368","397","368","387","7.20","568701"
"BOKL","2021-06-03","344","363","344","361","4.94","446509"
"BOKL","2021-06-02","340","346","338","344","1.18","110192"
"BOKL","2021-06-01","341","347","338","340","-1.16","117575"
"BOKL","2021-05-31","350","355","343","344","-1.43","250760"
"BOKL","2021-05-30","348","356","340","349","2.05","254658"
"BOKL","2021-05-27","335","349","328","342","0.29","197418"
"BOKL","2021-05-25","348","349","340","341","-2.01","221004"
"BOKL","2021-05-24","360","360","342","348","-1.42","409929"
"BOKL","2021-05-23","351","354","337","353","0.57","413005"
"BOKL","2021-05-20","340","351","335","351","6.36","980144"
"BOKL","2021-05-19","327","335","325","330","1.54","496518"
"BOKL","2021-05-18","325","327","321","325","0.31","153382"
"BOKL","2021-05-17","322","325","318","324","1.25","213833"
"BOKL","2021-05-16","315","324","315","320","2.56","228423"
"BOKL","2021-05-13","315","315","310","312","0.00","51218"
"BOKL","2021-05-12","312","314","309","312","-0.32","44521"
"BOKL","2021-05-11","317","317","312","313","-0.32","53287"
"BOKL","2021-05-10","314","316","310","314","0.00","97687"
"BOKL","2021-05-09","320","326","304","314","2.95","638625"
"BOKL","2021-05-06","302","307","299","305","1.33","106144"
"BOKL","2021-05-05","300","305","300","301","-0.66","46955"
"BOKL","2021-05-04","305","306","301","303","-0.66","42098"
"BOKL","2021-05-03","310","310","302","305","0.00","37238"
"BOKL","2021-05-02","301","305","300","305","0.66","145278"
"BOKL","2021-04-29","315","315","301","303","0.66","53030"
"BOKL","2021-04-28","306","306","299","301","-1.63","55264"
"BOKL","2021-04-27","295","306","295","306","3.38","59901"
"BOKL","2021-04-26","304","304","294","296","-2.63","107513"
"BOKL","2021-04-25","309","312","301","304","-1.62","92456"
"BOKL","2021-04-22","309","311","305","309","0.00","95086"
"BOKL","2021-04-21","317","317","307","309","-0.96","130341"
"BOKL","2021-04-20","313","316","310","312","-0.32","91847"
"BOKL","2021-04-19","316","320","311","313","-1.57","118435"
"BOKL","2021-04-18","322","324","314","318","-0.93","211278"
"BOKL","2021-04-15","320","328","319","322","1.26","213474"
"BOKL","2021-04-13","311","319","310","318","2.58","143204"
"BOKL","2021-04-12","315","316","308","310","-0.96","98807"
"BOKL","2021-04-08","310","315","309","313","0.97","205441"
"BOKL","2021-04-07","310","315","306","310","0.00","153079"
"BOKL","2021-04-06","307","312","304","310","0.98","171085"
"BOKL","2021-04-05","315","317","306","307","-1.60","149804"
"BOKL","2021-04-04","310","317","310","312","0.97","156621"
"BOKL","2021-04-01","306","320","300","309","1.64","374190"
"BOKL","2021-03-31","303","306","300","304","1.67","145167"
"BOKL","2021-03-30","313","313","298","299","0.00","72214"
"BOKL","2021-03-29","316","316","297","299","-0.66","73392"
"BOKL","2021-03-25","316","316","297","301","0.00","131800"
"BOKL","2021-03-24","302","304","297","301","0.67","128470"
"BOKL","2021-03-23","300","300","296","299","0.67","63266"
"BOKL","2021-03-22","303","303","296","297","-1.66","129885"
"BOKL","2021-03-21","303","303","297","302","1.34","225077"
"BOKL","2021-03-18","294","304","294","298","3.11","98065"
"BOKL","2021-03-17","296","300","289","289","-1.70","119417"
"BOKL","2021-03-16","300","300","293","294","-0.34","37308"
"BOKL","2021-03-15","297","302","293","295","-0.67","51470"
"BOKL","2021-03-14","306","306","296","297","-2.94","88169"
"BOKL","2021-03-10","308","308","302","306","0.00","54907"
"BOKL","2021-03-09","307","308","300","306","-1.92","60456"
"BOKL","2021-03-08","324","326","310","315","-3.37","96416"
"BOKL","2021-03-04","310","330","299","326","7.59","273837"
"BOKL","2021-03-03","317","317","296","303","0.33","130234"
"BOKL","2021-03-02","310","315","300","302","-2.27","129739"
"BOKL","2021-03-01","300","314","296","309","0.00","229017"
"BOKL","2021-02-28","305","307","296","298","-2.61","215579"
"BOKL","2021-02-25","314","314","305","306","0.00","174742"
"BOKL","2021-02-24","316","323","308","314","0.64","164982"
"BOKL","2021-02-23","314","314","304","312","-0.64","153889"
"BOKL","2021-02-22","340","340","313","314","-3.09","192202"
"BOKL","2021-02-21","342","342","322","324","-0.01","212565"
"BOKL","2021-02-18","325","332","320","326","0.02","330995"
"BOKL","2021-02-17","323","327","314","320","0.01","180283"
"BOKL","2021-02-16","315","324","313","317","0.02","338102"
"BOKL","2021-02-15","316","322","308","310","0.00","226766"
"BOKL","2021-02-14","318","318","306","310","-0.03","97873"
"BOKL","2021-02-11","316","331","312","318","0.02","298115"
