"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EBL","2022-04-13","515","519","507","519","0.97","25490"
"EBL","2022-04-12","520","520","508","514","0.37","15153"
"EBL","2022-04-11","529","529","512.1","512.1","-1.33","19620"
"EBL","2022-04-07","520","523.9","513","519","0.19","16193"
"EBL","2022-04-06","512","523","512","518","0.48","11576"
"EBL","2022-04-05","518","519","512","515.5","-0.94","24410"
"EBL","2022-04-04","521","527","520","520.4","-0.12","10708"
"EBL","2022-04-03","523","525","520.3","521","-0.19","10005"
"EBL","2022-03-31","533","540","522","522","-0.76","20708"
"EBL","2022-03-30","522","529","522","526","0.19","17772"
"EBL","2022-03-29","530","530","524.1","525","-0.57","12564"
"EBL","2022-03-28","527","534.9","526","528","-0.38","9346"
"EBL","2022-03-27","531.1","539","528.6","530","-0.95","23543"
"EBL","2022-03-24","537.9","540","530","535.1","-0.72","15910"
"EBL","2022-03-23","545.5","553","536","539","-1.28","13480"
"EBL","2022-03-22","549.9","553","543","546","0.37","11326"
"EBL","2022-03-21","540","544.9","533.1","544","1.12","15163"
"EBL","2022-03-20","546","546","537","538","-1.10","11584"
"EBL","2022-03-16","540.1","556","540.1","544","-0.55","11603"
"EBL","2022-03-15","557","557","540.2","547","-1.44","19461"
"EBL","2022-03-14","555","561","550.1","555","0.00","2387"
"EBL","2022-03-13","550","558.9","539","555","2.78","14235"
"EBL","2022-03-10","540","540","529","540","0.75","30144"
"EBL","2022-03-09","537","540","531","536","-0.74","11289"
"EBL","2022-03-07","547","547","537","540","0.56","19027"
"EBL","2022-03-06","540","549","536.2","537","-0.37","10190"
"EBL","2022-03-02","548","549","536","539","-2.53","34679"
"EBL","2022-02-28","559","570","553","553","-1.07","11179"
"EBL","2022-02-27","560","568","555","559","-1.06","20000"
"EBL","2022-02-24","577","577","562","565","-2.92","14046"
"EBL","2022-02-23","589","594.9","576.3","582","-3.16","30550"
"EBL","2022-02-22","578","601","565","601","3.98","22719"
"EBL","2022-02-21","567","578","551.5","578","2.85","23725"
"EBL","2022-02-20","544.8","562","540","562","1.10","14121"
"EBL","2022-02-17","552.2","564.5","550","555.9","0.34","13723"
"EBL","2022-02-16","552.1","573","550","554","0.36","12086"
"EBL","2022-02-15","550.1","556","547","552","0.27","20932"
"EBL","2022-02-14","557","568.1","550","550.5","-1.17","26716"
"EBL","2022-02-13","561","561","550","557","-1.94","24188"
"EBL","2022-02-10","572","572","565","568","-0.70","17118"
"EBL","2022-02-09","573","578","571","572","-1.35","11995"
"EBL","2022-02-08","589","600.7","571.3","579.8","0.00","20323"
"EBL","2022-02-07","578","585","576.1","577.5","-0.43","8586"
"EBL","2022-02-06","583","585","578","580","-0.85","9840"
"EBL","2022-02-03","590","595","585","585","0.00","29116"
"EBL","2022-02-01","576","585","576","585","0.34","28069"
"EBL","2022-01-31","595","595","580","583","-2.00","23495"
"EBL","2022-01-30","587","604","581.3","594.9","3.28","19498"
"EBL","2022-01-27","578","588","576","576","-0.35","12623"
"EBL","2022-01-26","585","588","576","578","-0.86","13258"
"EBL","2022-01-25","582","593.6","578.2","583","0.17","18845"
"EBL","2022-01-24","596","597","579","582","-3.16","46044"
"EBL","2022-01-23","610","612","597","601","-2.28","48168"
"EBL","2022-01-20","615","615","605","615","0.00","45429"
"EBL","2022-01-19","630","632","614","615","-2.38","26605"
"EBL","2022-01-18","630","640","623","630","0.64","75571"
"EBL","2022-01-17","621","635","615","626","2.62","59378"
"EBL","2022-01-16","604","621","602.3","610","0.99","67142"
"EBL","2022-01-13","600","604","595.7","604","0.67","31878"
"EBL","2022-01-12","611","616","599.1","600","-2.12","42536"
"EBL","2022-01-11","610","620","605","613","0.49","26056"
"EBL","2022-01-10","629","629","605","610","-1.45","32762"
"EBL","2022-01-09","624","630","612.5","619","0.81","61734"
"EBL","2022-01-06","598","618","588.4","614","2.85","40796"
"EBL","2022-01-05","615","618.9","591","597","-2.93","70010"
"EBL","2022-01-04","571","625","560.1","615","7.16","77227"
"EBL","2022-01-03","552","576","551.1","573.9","4.73","65836"
"EBL","2022-01-02","536","551.8","532","548","2.37","40142"
"EBL","2021-12-29","536","540","526.2","535.3","-0.13","14984"
"EBL","2021-12-28","525.6","536","525.6","536","0.54","13145"
