"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FOWAD","2022-02-13","2350","2350","2271","2284","-3.76","22014"
"FOWAD","2022-02-10","2380","2419","2355","2373.3","-1.11","12260"
"FOWAD","2022-02-09","2403","2445","2395","2400","-1.19","6374"
"FOWAD","2022-02-08","2504.1","2510","2401","2429","0.00","10359"
"FOWAD","2022-02-07","2454","2489","2440","2455","-0.04","6487"
"FOWAD","2022-02-06","2455","2500","2440","2456","-1.37","27008"
"FOWAD","2022-02-03","2520","2560","2485","2490","-2.73","25690"
"FOWAD","2022-02-01","2434.7","2625","2434.7","2560","7.25","68888"
"FOWAD","2022-01-31","2213.4","2387","2213.4","2387","10.00","11833"
"FOWAD","2022-01-30","2158","2240","2158","2170","2.55","6770"
"FOWAD","2022-01-27","2080","2152","2080","2116","-0.26","4375"
"FOWAD","2022-01-26","2190","2190","2078","2121.5","-1.23","4604"
"FOWAD","2022-01-25","2175","2175","2120","2148","0.33","7668"
"FOWAD","2022-01-24","2165","2199","2130","2141","-2.90","7310"
"FOWAD","2022-01-23","2250","2250","2205","2205","-0.94","4135"
"FOWAD","2022-01-20","2229.8","2230","2177","2226","1.18","4760"
"FOWAD","2022-01-19","2169","2260","2167","2200","0.00","9176"
"FOWAD","2022-01-18","2200","2250","2185","2200","-0.45","7810"
"FOWAD","2022-01-17","2249.9","2252","2200","2210","0.00","8111"
"FOWAD","2022-01-16","2185","2272","2190","2210","1.14","15587"
"FOWAD","2022-01-13","2150","2193","2107","2185","2.20","9310"
"FOWAD","2022-01-12","2179","2189","2130","2138","-1.47","7034"
"FOWAD","2022-01-11","2099","2177","2080","2170","4.33","12427"
"FOWAD","2022-01-10","2100","2123","2070","2080","-0.43","5595"
"FOWAD","2022-01-09","2110","2110.9","2068","2089","0.92","8788"
"FOWAD","2022-01-06","2030","2080","2020","2070","0.49","3801"
"FOWAD","2022-01-05","2134","2134","2060","2060","-1.90","7273"
"FOWAD","2022-01-04","2075.1","2100.1","2036","2100","1.20","10720"
"FOWAD","2022-01-03","2090","2091","2051","2075","1.22","10623"
"FOWAD","2022-01-02","2000","2070","2000","2050","4.43","11450"
"FOWAD","2021-12-29","2652","2699","2650","2650","-1.67","11618"
"FOWAD","2021-12-28","2725","2735","2627","2695","-1.10","9261"
"FOWAD","2021-12-27","2780","2800","2698","2725","-1.42","10499"
"FOWAD","2021-12-26","2677.5","2764.2","2636","2764.2","5.30","12620"
"FOWAD","2021-12-23","2654","2654","2580","2625","0.11","4922"
"FOWAD","2021-12-22","2570","2625","2545","2622","2.82","6230"
"FOWAD","2021-12-21","2536","2558","2485.3","2550","2.45","2759"
"FOWAD","2021-12-20","2450","2544","2355","2489","0.53","8576"
"FOWAD","2021-12-16","2524","2525","2470","2476","-1.75","4005"
"FOWAD","2021-12-15","2615","2620","2499","2520","-1.95","11053"
"FOWAD","2021-12-14","2466","2580","2446","2570","6.29","4572"
"FOWAD","2021-12-13","2477.5","2500","2401","2418","-4.35","12057"
"FOWAD","2021-12-12","2603","2630","2511","2528","-4.60","7245"
"FOWAD","2021-12-09","2650","2668","2612","2650","0.00","7456"
"FOWAD","2021-12-08","2699","2807.9","2635.8","2649.9","0.11","24407"
"FOWAD","2021-12-07","2748","2749","2641","2647","-2.79","3921"
"FOWAD","2021-12-06","2640","2723","2590","2723","1.60","8714"
"FOWAD","2021-12-05","2778.8","2778.8","2621","2680","-1.80","5259"
"FOWAD","2021-12-02","2834.9","2835","2673","2729","-1.83","7625"
"FOWAD","2021-12-01","2802","2850","2746","2780","1.13","7580"
"FOWAD","2021-11-30","2790","2790","2710","2749","-0.72","7698"
"FOWAD","2021-11-29","2746","2855","2746","2769","-1.11","2393"
"FOWAD","2021-11-28","2835","2933","2779","2800","-3.18","13266"
"FOWAD","2021-11-25","2980","2980","2890","2892","-1.80","3593"
