"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HDL","2022-03-06","3900","3935","3825","3889","0.75","21518"
"HDL","2022-03-02","3969","3995","3860","3860","-2.75","30789"
"HDL","2022-02-28","4100","4109.5","3950","3969","-1.49","33473"
"HDL","2022-02-27","4048","4128","4000","4029","-0.47","18596"
"HDL","2022-02-24","4115","4118","4040.1","4048","-2.13","30848"
"HDL","2022-02-23","4170","4215","4120","4136.1","-0.72","23081"
"HDL","2022-02-22","4200","4215","4160.1","4166","-0.14","24890"
"HDL","2022-02-21","4150","4200","4150","4172","0.36","17959"
"HDL","2022-02-20","4170","4224","4086.7","4157","-2.30","36960"
"HDL","2022-02-17","4300","4300","4240","4255","-1.00","28638"
"HDL","2022-02-16","4342","4380","4257","4298","-1.01","20891"
"HDL","2022-02-15","4252.7","4355","4216","4342","0.07","53147"
"HDL","2022-02-14","4410","4486","4333","4339","-1.79","26212"
"HDL","2022-02-13","4600","4600","4410","4418","-3.96","30277"
"HDL","2022-02-10","4605","4650","4575","4600","-0.33","10332"
"HDL","2022-02-09","4646","4700","4601","4615","-0.67","7240"
"HDL","2022-02-08","4743","4830","4630","4645.9","0.00","13060"
"HDL","2022-02-07","4650","4742","4602","4650","0.00","5820"
"HDL","2022-02-06","4750","4750","4650","4650","-1.73","12822"
"HDL","2022-02-03","4851","4860","4725","4732","-0.69","14231"
"HDL","2022-02-01","4750","4800","4730","4765","0.32","10691"
"HDL","2022-01-31","4850","4850","4731","4750","-1.02","13298"
"HDL","2022-01-30","4699","4950","4699","4799","4.17","19619"
"HDL","2022-01-27","4619","4672","4606","4607","-0.15","10162"
"HDL","2022-01-26","4730","4740","4570","4614","-1.70","18485"
"HDL","2022-01-25","4670","4763.3","4550","4694","0.62","23364"
"HDL","2022-01-24","4847","4850","4656","4665","-3.75","39361"
"HDL","2022-01-23","4899","4950","4820","4847","0.35","17123"
"HDL","2022-01-20","4844","4845","4736","4830","1.05","19851"
"HDL","2022-01-19","4910","4910","4745","4780","-1.04","25852"
"HDL","2022-01-18","5020","5049","4745","4830","-3.11","42000"
"HDL","2022-01-17","4985","5000","4850","4985","1.98","37039"
"HDL","2022-01-16","4575","4900","4575","4888","8.96","44963"
"HDL","2022-01-13","4395","4488","4335","4486","3.60","32630"
"HDL","2022-01-12","4265","4430","4258","4330","1.69","39177"
"HDL","2022-01-11","4290","4290","4235","4257.9","0.30","24307"
"HDL","2022-01-10","4299","4310","4230","4245","0.00","18536"
"HDL","2022-01-09","4190","4300","4170","4245","1.80","24591"
"HDL","2022-01-06","4141","4193","4121","4170","0.70","21060"
"HDL","2022-01-05","4298","4298","4135","4141","-1.73","24304"
"HDL","2022-01-04","4250","4298","4200","4214","-0.82","25045"
"HDL","2022-01-03","4404.3","4440","4220","4249","-1.60","65839"
"HDL","2022-01-02","4004","4318.2","4004","4318","9.99","105193"
"HDL","2021-12-29","6928","7000","6830","6870","-0.69","76179"
"HDL","2021-12-28","6910","6950","6700","6918","1.75","38340"
"HDL","2021-12-27","6975","6998","6750","6799","-1.92","31083"
"HDL","2021-12-26","6936","6950","6830","6932","1.94","38601"
"HDL","2021-12-23","7140","7195","6795","6800","-2.86","52323"
"HDL","2021-12-22","6528","7040","6528","7000","9.38","98023"
"HDL","2021-12-21","6361.7","6616","6361.7","6400","2.61","22573"
"HDL","2021-12-20","5650","6237","5601","6237","10.00","30878"
"HDL","2021-12-16","5750","5750","5520","5670","-0.87","9712"
"HDL","2021-12-15","5648","5774","5510","5720","3.29","22545"
"HDL","2021-12-14","5342","5538","5250","5538","5.71","7850"
"HDL","2021-12-13","5390","5497","5235","5239","-4.75","22727"
