"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BANKING","2022-03-06","1644.58","1668.32","1644.58","1654.88","0.00","346704155.5"
"BANKING","2022-03-02","1677.15","1677.15","1648.27","1651.61","0.00","584411076.5"
"BANKING","2022-02-28","1695.11","1712.67","1677.19","1678.45","0.00","431326447.4"
"BANKING","2022-02-27","1702","1709.19","1687.7","1693.78","0.00","390635354.9"
"BANKING","2022-02-24","1732.57","1733.18","1700.8","1705.11","0.00","486410976.5"
"BANKING","2022-02-23","1743.2","1748.56","1732.02","1734.97","0.00","271951319.4"
"BANKING","2022-02-22","1736.46","1749.57","1736.46","1744.66","0.00","359459604.6"
"BANKING","2022-02-21","1720.19","1736.46","1719.77","1736.46","0.00","346808807.2"
"BANKING","2022-02-20","1730.65","1731.83","1706.43","1720.18","0.00","394856553"
"BANKING","2022-02-17","1746.01","1752.75","1743.2","1745.93","0.00","279629516.3"
"BANKING","2022-02-16","1757.66","1762.69","1743.72","1746","0.00","287130309.5"
"BANKING","2022-02-15","1743.06","1752.33","1733.59","1751.29","0.00","399646991.6"
"BANKING","2022-02-14","1739.37","1756.61","1732.93","1736.72","0.00","409630000.6"
"BANKING","2022-02-13","1766.96","1767.59","1734.55","1739.94","0.00","821726435.55"
"BANKING","2022-02-10","1792.84","1799.39","1779.46","1782.6","0.00","413252171.63"
"BANKING","2022-02-09","1805.82","1807.71","1789.97","1793.39","0.00","423875745.6"
"BANKING","2022-02-08","1829.92","1859.86","1801.71","1805.82","0.00","526616296"
"BANKING","2022-02-07","1815.91","1823.19","1810.85","1812.12","0.00","422792004"
"BANKING","2022-02-06","1834.92","1836","1813.09","1815.9","0.00","459938364.1"
"BANKING","2022-02-03","1843.19","1858.97","1832.08","1834.91","0.00","688124353.6"
"BANKING","2022-02-01","1835.27","1844.08","1823.45","1841.1","0.00","534043952.6"
"BANKING","2022-01-31","1862.86","1867.43","1834.29","1835.8","0.00","403098399.3"
"BANKING","2022-01-30","1820.45","1864.7","1820.44","1855.32","0.00","618611316.8"
"BANKING","2022-01-27","1811.57","1825.44","1807.57","1808.33","0.00","420167162.8"
"BANKING","2022-01-26","1833.39","1836.69","1809.6","1812.66","0.00","569500555.3"
"BANKING","2022-01-25","1846.51","1856.64","1811.89","1835.41","0.00","785217786.4"
"BANKING","2022-01-24","1900.5","1900.5","1831.55","1839.02","0.00","1409118787.3"
"BANKING","2022-01-23","1918.13","1928.11","1885.57","1893.29","0.00","1249066370.4"
"BANKING","2022-01-20","1912.14","1915.03","1896","1909.96","0.00","740761760.8"
"BANKING","2022-01-19","1943.86","1943.86","1904.4","1910.97","0.00","956204561"
"BANKING","2022-01-18","1902.94","1950.26","1897.69","1925.06","0.00","1672255136.3"
"BANKING","2022-01-17","1896.75","1914.74","1881.56","1902.68","0.00","1018292241.9"
"BANKING","2022-01-16","1849.68","1883.23","1849.03","1883.09","0.00","1377442333.7"
"BANKING","2022-01-13","1833.41","1844.18","1827.79","1843.38","0.00","718621437"
"BANKING","2022-01-12","1862.34","1864.87","1832.03","1833.51","0.00","1109359204.2"
"BANKING","2022-01-11","1857.01","1859.25","1840.71","1855.68","0.00","756227563.9"
"BANKING","2022-01-10","1873.81","1880.53","1842.77","1852.03","0.00","1173274662.8"
"BANKING","2022-01-09","1840.36","1873.06","1840.35","1867.32","0.00","1477828915.9"
"BANKING","2022-01-06","1793.76","1832.96","1785.25","1832.29","0.00","838643562.8"
"BANKING","2022-01-05","1833.49","1840.34","1793.2","1797.22","0.00","783351215.1"
"BANKING","2022-01-04","1761.46","1825.13","1748.16","1825.13","0.00","1132630006.9"
"BANKING","2022-01-03","1744.2","1768.14","1742.86","1761.46","0.00","970214818.1"
"BANKING","2022-01-02","1718.18","1736.35","1702.58","1736.06","0.00","936044696.6"
"BANKING","2021-12-29","1701.37","1709.71","1696.68","1702.12","0.00","1072725033.6"
"BANKING","2021-12-28","1711.11","1711.11","1691.6","1701.37","0.00","616405204.9"
"BANKING","2021-12-27","1739.74","1748.23","1708.09","1710.1","0.00","981320558.65"
"BANKING","2021-12-26","1725.62","1744.64","1725.02","1737.21","0.00","962169200.2"
"BANKING","2021-12-23","1728.23","1728.22","1704.08","1716.62","0.00","583705230.6"
"BANKING","2021-12-22","1688.87","1717.49","1685.32","1712.7","0.00","643250276.3"
"BANKING","2021-12-21","1642.65","1676.28","1642.03","1675.56","0.00","623772328.3"
"BANKING","2021-12-20","1667.2","1668.31","1634.2","1642.65","0.00","559760371.1"
"BANKING","2021-12-16","1657.68","1661.71","1641.92","1650.51","0.00","478532340.9"
"BANKING","2021-12-15","1668.45","1708.06","1639.97","1656.19","0.00","686047639.9"
"BANKING","2021-12-14","1596.98","1665.47","1596.97","1665.47","0.00","300025026.8"
"BANKING","2021-12-13","1627.78","1627.77","1580.04","1596.97","0.00","741652269.3"
"BANKING","2021-12-12","1675.27","1679.31","1628.48","1631.09","0.00","592114698.5"
"BANKING","2021-12-09","1677.84","1684.44","1658.83","1675.48","0.00","462596879.01"
"BANKING","2021-12-08","1702.16","1704.45","1672.11","1677.84","0.00","446501745.2"
"BANKING","2021-12-07","1720.17","1739.99","1703.05","1703.97","0.00","559653069.8"
"BANKING","2021-12-06","1700.68","1719.02","1657.95","1717.52","0.00","800774277"
"BANKING","2021-12-05","1744.66","1745.7","1699.91","1704.52","0.00","775786029.4"
"BANKING","2021-12-02","1763.64","1770.4","1741.21","1745.25","0.00","638492734.06"
"BANKING","2021-12-01","1761.38","1772.27","1761.16","1763.02","0.00","434220962.2"
"BANKING","2021-11-30","1767","1773.56","1747.93","1761.38","0.00","593234244.5"
"BANKING","2021-11-29","1776.34","1789.12","1763.56","1767.94","0.00","553711212.6"
"BANKING","2021-11-28","1812.6","1813.79","1777.13","1778.83","0.00","782993241.8"
"BANKING","2021-11-25","1803.35","1822.94","1798.57","1813.79","0.00","843687589.5"
"BANKING","2021-11-24","1810.72","1812.7","1790.31","1804.02","0.00","559831769.6"
"BANKING","2021-11-23","1826.52","1827.9","1807.04","1811.13","0.00","575873210.6"
"BANKING","2021-11-22","1824.21","1833.88","1823.06","1826.53","0.00","513558613.4"
"BANKING","2021-11-21","1831.68","1836.47","1820.3","1823.63","0.00","511492864"
"BANKING","2021-11-18","1857.52","1858.34","1825.97","1828.73","0.00","690314371.5"
"BANKING","2021-11-17","1857.67","1863.5","1849.04","1850.79","0.00","872609802.2"
"BANKING","2021-11-16","1814.32","1846.49","1812.84","1846.07","0.00","772020449.4"
"BANKING","2021-11-15","1810.73","1831.2","1810.31","1811.69","0.00","560198452.2"
"BANKING","2021-11-14","1822.93","1823.39","1806.38","1810.73","0.00","608043041.8"
