"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NABIL","2022-03-31","1015","1019.9","1000","1002","-0.40","62677"
"NABIL","2022-03-30","995","1006","993","1006","-0.30","101034"
"NABIL","2022-03-29","1000.1","1030","1000.1","1009","-0.79","53395"
"NABIL","2022-03-28","1029","1029","1010","1017","-0.29","36394"
"NABIL","2022-03-27","1055","1055","1017","1020","-1.92","37321"
"NABIL","2022-03-24","1057","1057","1036","1040","-0.67","34482"
"NABIL","2022-03-23","1060","1060","1043","1047","-0.29","29498"
"NABIL","2022-03-22","1060","1065","1048.1","1050","-0.19","35572"
"NABIL","2022-03-21","1075","1075","1046","1052","-0.75","32178"
"NABIL","2022-03-20","1080","1080","1055.3","1060","-0.38","28034"
"NABIL","2022-03-16","1079","1089","1060","1064","-1.39","25272"
"NABIL","2022-03-15","1100","1100","1075","1079","-1.19","44505"
"NABIL","2022-03-14","1100","1100.5","1081","1092","1.20","23711"
"NABIL","2022-03-13","1036","1080","1034","1079","5.99","57510"
"NABIL","2022-03-10","988.7","1018","988.7","1018","1.00","31958"
"NABIL","2022-03-09","1011.9","1020","1006","1007.9","-0.40","35691"
"NABIL","2022-03-07","1010","1012","1000","1011.9","0.90","47036"
"NABIL","2022-03-06","985.9","1020","985.9","1002.9","-0.31","64365"
"NABIL","2022-03-02","1040","1048","1000","1006","-3.27","74636"
"NABIL","2022-02-28","1050","1059","1037","1040","-0.10","45316"
"NABIL","2022-02-27","1051","1051","1040","1041","-0.95","43253"
"NABIL","2022-02-24","1065","1067","1048","1051","-1.55","72385"
"NABIL","2022-02-23","1084","1085","1065","1067.5","-0.28","29641"
"NABIL","2022-02-22","1080","1080","1069","1070.5","0.33","41743"
"NABIL","2022-02-21","1070","1073","1063","1067","0.47","39297"
"NABIL","2022-02-20","1070","1075","1045","1062","-1.58","61489"
"NABIL","2022-02-17","1081","1094","1070","1079","-0.09","34444"
"NABIL","2022-02-16","1096","1096","1070.3","1080","0.47","46381"
"NABIL","2022-02-15","1085","1085","1066.1","1075","1.03","53230"
"NABIL","2022-02-14","1070","1079","1064","1064","-0.56","68303"
"NABIL","2022-02-13","1095","1095","1069","1070","-2.47","87909"
"NABIL","2022-02-10","1101","1101","1095","1097.1","-0.35","62380"
"NABIL","2022-02-09","1110","1110","1098","1100.9","-0.55","59639"
"NABIL","2022-02-08","1128","1129","1106","1107","0.00","51383"
"NABIL","2022-02-07","1112","1112","1106","1109","0.00","68960"
"NABIL","2022-02-06","1130","1130","1108.5","1109","-1.16","71516"
"NABIL","2022-02-03","1141.5","1143.5","1121","1122","0.08","61153"
"NABIL","2022-02-01","1129.9","1129.9","1119.3","1121.1","-0.52","54175"
"NABIL","2022-01-31","1149","1149","1125","1127","-0.70","38126"
"NABIL","2022-01-30","1139","1139","1127.1","1135","1.61","59027"
"NABIL","2022-01-27","1121","1130","1115","1117","-0.36","56308"
"NABIL","2022-01-26","1129","1134.9","1115","1121","-0.72","61217"
"NABIL","2022-01-25","1135","1145","1110","1129.1","0.19","52041"
"NABIL","2022-01-24","1165","1165","1125","1127","-2.93","96165"
"NABIL","2022-01-23","1178","1178","1155","1161","-1.44","79765"
"NABIL","2022-01-20","1182","1182","1160","1178","0.08","47782"
"NABIL","2022-01-19","1213","1213","1170.1","1177","-1.09","73385"
"NABIL","2022-01-18","1180","1209","1180","1190","0.94","116223"
"NABIL","2022-01-17","1162","1179","1140","1178.9","3.41","113189"
"NABIL","2022-01-16","1120","1147","1110","1140","2.70","176667"
"NABIL","2022-01-13","1110","1112","1104","1110","0.27","92618"
"NABIL","2022-01-12","1120","1120","1107","1107","-0.70","105760"
"NABIL","2022-01-11","1112","1117","1105.5","1114.8","0.31","102845"
"NABIL","2022-01-10","1113","1119.9","1106.1","1111.3","-0.15","120640"
