"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NTC","2022-03-21","1546","1555","1490","1504","-2.97","139287"
"NTC","2022-03-20","1569","1575","1539.1","1550","-1.15","56827"
"NTC","2022-03-16","1626","1628","1538.1","1568","-3.57","103828"
"NTC","2022-03-15","1748.2","1748.2","1626","1626","-5.13","203098"
"NTC","2022-03-14","1684","1729.9","1684","1714","-0.06","27074"
"NTC","2022-03-13","1647.1","1715","1645","1715","4.19","116597"
"NTC","2022-03-10","1660.3","1685","1636.8","1646","-2.02","79402"
"NTC","2022-03-09","1689","1714","1643.7","1680","-0.53","62897"
"NTC","2022-03-07","1643","1695","1632","1689","3.18","75648"
"NTC","2022-03-06","1648","1649.9","1603","1637","0.80","51278"
"NTC","2022-03-02","1650","1660","1617","1624","-3.04","86931"
"NTC","2022-02-28","1705","1710","1651","1675","-1.41","65556"
"NTC","2022-02-27","1690","1725","1659","1699","0.53","112304"
"NTC","2022-02-24","1691.5","1741","1662.2","1690","-2.09","147895"
"NTC","2022-02-23","1743.5","1799","1725","1726","-2.98","110212"
"NTC","2022-02-22","1702.3","1799.9","1702.3","1779","2.42","121539"
"NTC","2022-02-21","1701","1744","1693","1737","1.58","153445"
"NTC","2022-02-20","1645.5","1711","1629.1","1710","1.85","112672"
"NTC","2022-02-17","1650","1680","1645","1679","0.90","60388"
"NTC","2022-02-16","1661.1","1683","1636","1664","0.54","89535"
"NTC","2022-02-15","1607","1655","1593","1655","4.42","112045"
"NTC","2022-02-14","1583","1613","1580","1585","0.13","106968"
"NTC","2022-02-13","1593","1595.9","1570","1583","-2.57","118823"
"NTC","2022-02-10","1590","1625","1588.1","1624.8","1.56","158139"
"NTC","2022-02-09","1590","1599.9","1562","1599.9","0.62","92469"
"NTC","2022-02-08","1600","1610","1568","1590","0.00","85021"
"NTC","2022-02-07","1515","1590","1509.2","1590","3.25","157172"
"NTC","2022-02-06","1550","1550","1509.5","1540","-1.28","88745"
"NTC","2022-02-03","1575","1600","1516","1560","-0.51","104116"
"NTC","2022-02-01","1543","1575","1543","1568","-0.13","55701"
"NTC","2022-01-31","1520","1570","1500","1570","3.29","202341"
"NTC","2022-01-30","1486","1540","1465","1520","4.12","157615"
"NTC","2022-01-27","1455","1475","1441","1459.9","1.38","78581"
"NTC","2022-01-26","1449","1459","1426","1440","-0.61","38238"
"NTC","2022-01-25","1430","1485","1426.9","1448.9","-0.49","49872"
"NTC","2022-01-24","1510","1510","1437","1456","-3.77","132662"
"NTC","2022-01-23","1486","1525","1470","1513","3.84","213430"
"NTC","2022-01-20","1436","1504.3","1432","1457","0.07","107068"
"NTC","2022-01-19","1469.1","1550","1452.2","1456","-2.87","84219"
"NTC","2022-01-18","1487","1546","1452","1499","2.81","169325"
"NTC","2022-01-17","1463.7","1474","1416","1458","1.60","165102"
"NTC","2022-01-16","1391","1455","1392","1435","3.16","151494"
"NTC","2022-01-13","1391","1408.6","1375","1391","0.00","63748"
"NTC","2022-01-12","1414","1439","1381.1","1391","-3.40","56238"
"NTC","2022-01-11","1445","1445","1403","1440","0.59","97060"
"NTC","2022-01-10","1360","1431.5","1336","1431.5","5.41","158355"
"NTC","2022-01-09","1350","1370","1335","1358","2.03","89981"
"NTC","2022-01-06","1327","1334","1300.6","1331","1.37","56637"
"NTC","2022-01-05","1320","1346.4","1301","1313","-0.15","59319"
"NTC","2022-01-04","1302.1","1329","1293","1315","-0.15","22367"
"NTC","2022-01-03","1335","1335","1301.1","1317","-0.60","29864"
"NTC","2022-01-02","1300","1341","1283","1325","3.27","79727"
"NTC","2021-12-29","1299","1305","1280","1283","0.00","30806"
"NTC","2021-12-28","1263.3","1300","1263.3","1283","-0.06","40509"
"NTC","2021-12-27","1355","1360","1283.8","1283.8","-3.84","61359"
"NTC","2021-12-26","1335","1355","1320","1335","0.00","99511"
"NTC","2021-12-23","1310.1","1362","1310.1","1335","0.30","61547"
"NTC","2021-12-22","1318","1380","1295","1331","2.78","60299"
"NTC","2021-12-21","1254","1299","1240.1","1295","5.11","82402"
"NTC","2021-12-20","1265","1265","1231.1","1232","-2.61","42559"
"NTC","2021-12-16","1254","1279","1229","1265","-1.09","22471"
"NTC","2021-12-15","1310","1310","1252","1279","-0.70","62477"
"NTC","2021-12-14","1200","1288","1195","1288","5.75","30556"
"NTC","2021-12-13","1233.9","1264","1203","1218","-3.26","59093"
"NTC","2021-12-12","1301","1332","1257","1259","-3.60","38683"
"NTC","2021-12-09","1272.8","1321.9","1272.8","1306","0.56","56658"
"NTC","2021-12-08","1326","1328","1298.6","1298.7","-2.06","83342"
"NTC","2021-12-07","1362","1389.2","1320","1326","-2.64","61755"
"NTC","2021-12-06","1302.5","1371","1302.5","1362","2.48","104627"
"NTC","2021-12-05","1385","1385","1310","1329","-4.03","126212"
"NTC","2021-12-02","1439","1439","1365.6","1384.8","-2.89","70998"
"NTC","2021-12-01","1393","1440","1377","1426","2.37","103022"
"NTC","2021-11-30","1400","1400","1351","1393","0.94","38412"
"NTC","2021-11-29","1408","1430","1372","1380","-2.06","71287"
"NTC","2021-11-28","1454.4","1465","1390","1409","-5.05","133771"
"NTC","2021-11-25","1450","1495","1450","1484","1.30","179849"
"NTC","2021-11-24","1486.1","1486.1","1431","1465","0.55","180214"
"NTC","2021-11-23","1402","1470","1402","1457","2.59","287027"
"NTC","2021-11-22","1411","1438","1375","1420.2","1.77","206052"
"NTC","2021-11-21","1438","1438","1380","1395.5","-2.96","161903"
"NTC","2021-11-18","1395","1457.5","1355","1438","3.45","429788"
"NTC","2021-11-17","1302.6","1404.8","1302.6","1390","8.84","426090"
"NTC","2021-11-16","1184","1277.1","1176.5","1277.1","10.00","131647"
"NTC","2021-11-15","1170","1183.2","1157","1161","0.09","20746"
"NTC","2021-11-14","1125","1183","1111","1160","3.20","11973"
"NTC","2021-11-11","1156","1169","1124","1124","-2.85","14790"
"NTC","2021-11-09","1200","1200","1142.8","1157","-3.58","24952"
"NTC","2021-11-08","1202","1220","1176","1200","0.08","15470"
"NTC","2021-11-03","1224","1225","1182","1199","-0.08","20534"
"NTC","2021-11-02","1178","1214","1155.2","1200","0.00","17740"
"NTC","2021-11-01","1234","1235","1180","1200","-1.23","21103"
"NTC","2021-10-31","1225","1244","1205","1215","-0.82","26240"
"NTC","2021-10-28","1174","1232","1161.2","1225","3.99","79067"
"NTC","2021-10-27","1180","1208.7","1161","1178","-0.17","53712"
"NTC","2021-10-26","1160","1190","1157","1180","0.17","21999"
"NTC","2021-10-25","1155","1178","1135.1","1178","2.43","30780"
"NTC","2021-10-24","1100","1160","1061","1150","5.99","46133"
"NTC","2021-10-21","1055","1095","1039","1085","2.94","26185"
"NTC","2021-10-20","1014","1054","1012.4","1054","5.93","32782"
"NTC","2021-10-19","990","995","972","995","-0.50","13873"
"NTC","2021-10-18","1002","1022","1000","1000","-2.15","9217"
"NTC","2021-10-17","1008","1023","995","1022","3.23","18184"
"NTC","2021-10-11","1035","1035","979","990","-2.46","28124"
"NTC","2021-10-10","1039","1059","1012","1015","-2.31","13227"
"NTC","2021-10-06","1029","1045","1010","1039","2.57","7816"
"NTC","2021-10-05","1015","1015","997.1","1013","-0.20","6483"
"NTC","2021-10-04","985","1015","980.1","1015","2.01","19506"
"NTC","2021-10-03","1027","1027","995","995","-1.87","11247"
"NTC","2021-09-30","1048","1048","1010","1014","-1.46","14541"
"NTC","2021-09-29","1015","1030","986","1029","3.00","24816"
"NTC","2021-09-28","1006","1008","990","999","-0.69","12032"
"NTC","2021-09-27","1035","1035","999","1005.9","-3.00","18207"
"NTC","2021-09-26","1060","1062","1037","1037","-3.08","10210"
"NTC","2021-09-23","1098","1098","1064","1070","-1.38","23349"
"NTC","2021-09-22","1086.3","1100","1078","1085","1.88","10750"
"NTC","2021-09-21","1055","1080","995","1065","0.95","18605"
"NTC","2021-09-20","1110","1111","1040","1055","-4.00","18690"
"NTC","2021-09-16","1100","1105","1075","1099","-1.26","19407"
"NTC","2021-09-15","1125","1125","1103","1113","-0.54","6585"
"NTC","2021-09-14","1151","1151","1110","1119","-0.97","13499"
"NTC","2021-09-13","1135","1149","1119","1130","-0.44","10983"
"NTC","2021-09-12","1143.4","1166.2","1120","1135","1.25","11001"
"NTC","2021-09-09","1150","1172","1118.2","1121","-2.52","13682"
"NTC","2021-09-08","1201","1201","1136.8","1150","-4.09","13919"
"NTC","2021-09-07","1183.7","1199","1125","1199","3.32","25346"
"NTC","2021-09-06","1055","1160.5","1055","1160.5","10.00","33918"
"NTC","2021-09-05","1111.9","1111.9","1030","1055","-5.30","30398"
"NTC","2021-09-02","1157","1157","1100","1114","-1.85","40684"
"NTC","2021-09-01","1152","1164","1105","1135","0.44","53036"
"NTC","2021-08-31","1171","1190","1118","1130","-3.50","50419"
"NTC","2021-08-29","1190","1210","1170","1171","-2.01","28779"
"NTC","2021-08-26","1201","1215","1195","1195","-0.33","21347"
"NTC","2021-08-25","1225","1225","1195","1199","-1.72","42165"
"NTC","2021-08-24","1264","1265","1210","1220","-1.61","28046"
"NTC","2021-08-19","1213","1305.6","1211.1","1240","2.90","54119"
"NTC","2021-08-18","1220","1237","1189","1205","-0.66","48279"
"NTC","2021-08-17","1240","1255","1205","1213","-2.02","57885"
"NTC","2021-08-16","1250","1270","1238","1238","-0.64","33886"
"NTC","2021-08-15","1244.6","1265","1235.8","1246","-1.88","53012"
"NTC","2021-08-12","1270","1280","1266","1269.9","-0.01","17864"
"NTC","2021-08-11","1295","1300","1265","1270","-0.70","18915"
"NTC","2021-08-10","1275.1","1291","1272","1279","0.71","38801"
"NTC","2021-08-09","1280","1285","1265","1270","-0.39","23784"
"NTC","2021-08-08","1287.8","1295","1255.4","1275","-0.99","62890"
"NTC","2021-08-05","1296","1296","1285","1287.8","-0.40","14470"
"NTC","2021-08-04","1300","1310","1290","1293","-0.39","17368"
"NTC","2021-08-03","1300","1306","1291","1298","0.62","15544"
"NTC","2021-08-02","1296","1299","1289","1290","-0.46","12147"
"NTC","2021-08-01","1304","1305","1295.5","1296","-0.54","13332"
"NTC","2021-07-29","1305","1312","1301.2","1303","0.15","20940"
"NTC","2021-07-28","1325","1330","1295","1301","-0.23","19053"
"NTC","2021-07-27","1293","1306","1287","1304","0.85","28765"
"NTC","2021-07-26","1325","1325","1290.3","1293","-0.84","18127"
"NTC","2021-07-25","1300","1315","1300","1304","0.62","17158"
