,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,BOKL,2016-09-28,464.0,510.0,473.0,507.0,9.91,4437
1,BOKL,2016-09-29,520.0,561.0,520.0,561.0,10.00,50
2,BOKL,2016-10-02,572.0,617.0,572.0,617.0,9.98,469
3,BOKL,2016-10-03,629.0,678.0,629.0,678.0,9.89,420
4,BOKL,2016-10-04,691.0,745.0,691.0,745.0,9.88,3322
5,BOKL,2016-10-05,759.0,819.0,755.0,787.0,5.64,381177
6,BOKL,2016-10-06,781.0,794.0,775.0,780.0,-0.89,178136
7,BOKL,2016-10-16,778.0,780.0,755.0,764.0,-2.05,58598
8,BOKL,2016-10-17,770.0,770.0,736.0,752.0,-1.57,75678
9,BOKL,2016-10-18,715.0,753.0,715.0,740.0,-1.60,51936
10,BOKL,2016-10-19,750.0,751.0,735.0,738.0,-0.27,34634
11,BOKL,2016-10-20,740.0,744.0,739.0,741.0,0.41,40919
12,BOKL,2016-10-23,750.0,750.0,723.0,730.0,-1.48,48414
13,BOKL,2016-10-24,728.0,728.0,713.0,719.0,-1.51,35840
14,BOKL,2016-10-25,715.0,730.0,706.0,720.0,0.14,39244
15,BOKL,2016-10-26,718.0,720.0,707.0,718.0,-0.28,36563
16,BOKL,2016-10-27,720.0,729.0,714.0,719.0,0.14,45651
17,BOKL,2016-11-03,720.0,720.0,710.0,713.0,-0.83,22970
18,BOKL,2016-11-07,713.0,714.0,705.0,706.0,-0.98,49484
19,BOKL,2016-11-08,707.0,707.0,691.0,700.0,-0.85,53317
20,BOKL,2016-11-09,695.0,700.0,666.0,688.0,-1.71,42648
21,BOKL,2016-11-10,686.0,693.0,670.0,688.0,0.00,63495
22,BOKL,2016-11-13,688.0,688.0,666.0,676.0,-1.74,42870
23,BOKL,2016-11-14,666.0,705.0,666.0,698.0,3.25,60427
24,BOKL,2016-11-15,700.0,710.0,692.0,698.0,0.00,66240
25,BOKL,2016-11-16,700.0,700.0,690.0,691.0,-1.00,19983
26,BOKL,2016-11-17,690.0,690.0,660.0,675.0,-2.31,53578
27,BOKL,2016-11-20,688.0,688.0,638.0,655.0,-2.96,77691
28,BOKL,2016-11-21,647.0,669.0,631.0,658.0,0.46,67806
29,BOKL,2016-11-22,645.0,659.0,615.0,644.0,-2.13,58544
30,BOKL,2016-11-23,647.0,650.0,620.0,630.0,-2.17,77629
31,BOKL,2016-11-24,642.0,654.0,620.0,629.0,-0.16,63443
