,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,FOWAD,2017-05-21,1051.0,1051.0,1051.0,1051.0,0.00,100
1,FOWAD,2017-06-05,1103.0,1103.0,1103.0,1125.0,4.95,30
2,FOWAD,2017-06-06,0.0,0.0,0.0,1125.0,0.00,9
3,FOWAD,2017-06-07,1125.0,1169.0,1125.0,1169.0,5.98,30
4,FOWAD,2017-06-11,1192.0,1215.0,1192.0,1239.0,3.93,26
5,FOWAD,2017-06-14,1239.0,1288.0,1239.0,1288.0,6.01,530
6,FOWAD,2017-06-15,1313.0,1365.0,1313.0,1365.0,5.98,52
7,FOWAD,2017-06-18,1365.0,1419.0,1392.0,1419.0,3.96,20
8,FOWAD,2017-06-19,1447.0,1447.0,1447.0,1447.0,1.97,10
9,FOWAD,2017-06-21,1475.0,1534.0,1475.0,1534.0,6.01,30
10,FOWAD,2017-06-25,1564.0,1626.0,1564.0,1626.0,6.00,30
11,FOWAD,2017-06-27,1658.0,1724.0,1658.0,1724.0,6.03,30
12,FOWAD,2017-06-28,1758.0,1864.0,1758.0,1901.0,8.12,46
13,FOWAD,2017-07-02,1901.0,1901.0,1901.0,1901.0,1.98,26
14,FOWAD,2017-07-03,1939.0,2091.0,1939.0,2091.0,9.99,66
15,FOWAD,2017-07-04,2132.0,2261.0,2132.0,2261.0,8.13,56
16,FOWAD,2017-07-05,2306.0,2306.0,2306.0,2306.0,1.99,10
17,FOWAD,2017-07-09,2306.0,2536.0,2352.0,2536.0,9.97,102
18,FOWAD,2017-07-10,2586.0,2586.0,2586.0,2586.0,1.97,40
19,FOWAD,2017-07-11,2637.0,2844.0,2637.0,2844.0,9.98,212
20,FOWAD,2017-07-12,2900.0,3128.0,2900.0,3128.0,9.99,3230
21,FOWAD,2017-07-13,3190.0,3384.0,3190.0,3221.0,2.97,39591
22,FOWAD,2017-07-16,3230.0,3305.0,3150.0,3297.0,2.39,16692
23,FOWAD,2017-07-17,3298.0,3570.0,3260.0,3542.0,7.40,14227
24,FOWAD,2017-07-18,3550.0,3795.0,3523.0,3795.0,7.14,16051
25,FOWAD,2017-07-19,3825.0,3870.0,3701.0,3710.0,-2.24,15286
26,FOWAD,2017-07-20,3650.0,3780.0,3650.0,3760.0,1.35,11248
27,FOWAD,2017-07-23,3750.0,3835.0,3740.0,3815.0,1.57,9171
28,FOWAD,2017-07-24,3800.0,3870.0,3785.0,3822.0,0.08,6313
29,FOWAD,2017-07-25,3810.0,3901.0,3781.0,3836.0,0.37,5324
30,FOWAD,2017-07-26,3840.0,3841.0,3780.0,3810.0,-0.68,4911
