,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,HDL,2012-02-07,100.0,99.0,99.0,99.0,-1.00,20
1,HDL,2012-03-20,99.0,99.0,99.0,99.0,0.00,40
2,HDL,2012-04-30,99.0,100.0,98.0,100.0,1.01,5730
3,HDL,2012-07-08,100.0,100.0,100.0,100.0,0.00,13810
4,HDL,2012-07-16,100.0,100.0,100.0,100.0,0.00,50
5,HDL,2012-08-01,100.0,99.0,99.0,99.0,-1.00,70
6,HDL,2012-09-18,99.0,100.0,100.0,100.0,1.01,20
7,HDL,2013-02-05,100.0,98.0,98.0,98.0,-2.00,330
8,HDL,2013-05-20,98.0,97.0,96.0,96.0,-2.04,70
9,HDL,2013-07-07,96.0,98.0,97.0,98.0,2.08,80
10,HDL,2013-07-08,98.0,101.0,99.0,100.0,2.04,11240
11,HDL,2013-07-09,100.0,100.0,100.0,100.0,0.00,310
12,HDL,2013-08-01,100.0,100.0,100.0,100.0,0.00,609080
13,HDL,2013-08-04,100.0,100.0,100.0,100.0,0.00,120
14,HDL,2013-08-11,100.0,98.0,98.0,98.0,-2.00,150
15,HDL,2013-10-07,98.0,99.0,99.0,99.0,1.02,400
16,HDL,2013-10-22,99.0,100.0,100.0,100.0,1.01,70
17,HDL,2013-10-31,100.0,98.0,98.0,98.0,-2.00,40
18,HDL,2013-12-03,98.0,99.0,99.0,99.0,1.02,100
19,HDL,2014-03-24,99.0,100.0,100.0,100.0,1.01,60
20,HDL,2014-03-27,100.0,100.0,100.0,100.0,0.00,59000
21,HDL,2014-04-02,100.0,100.0,100.0,100.0,0.00,100
22,HDL,2014-04-03,100.0,110.0,102.0,110.0,10.00,100
23,HDL,2014-04-09,110.0,112.0,112.0,112.0,1.82,20
24,HDL,2014-04-17,112.0,116.0,114.0,116.0,3.57,1020
25,HDL,2014-04-23,116.0,118.0,118.0,118.0,1.72,100
26,HDL,2014-04-27,118.0,124.0,120.0,124.0,5.08,400
27,HDL,2014-04-29,124.0,128.0,126.0,128.0,3.23,1050
28,HDL,2014-05-08,128.0,134.0,130.0,134.0,4.69,1750
29,HDL,2014-06-17,134.0,140.0,136.0,140.0,4.48,30
30,HDL,2014-06-19,140.0,142.0,142.0,142.0,1.43,20
31,HDL,2014-06-25,142.0,153.0,144.0,153.0,7.75,60
32,HDL,2014-07-01,153.0,156.0,156.0,156.0,1.96,20
33,HDL,2014-07-08,156.0,171.0,159.0,171.0,9.62,100
34,HDL,2014-07-22,171.0,181.0,174.0,181.0,5.85,710
35,HDL,2014-07-23,181.0,184.0,184.0,184.0,1.66,30
36,HDL,2014-08-03,184.0,187.0,187.0,187.0,1.63,50
37,HDL,2014-08-05,187.0,190.0,190.0,190.0,1.60,180
38,HDL,2014-08-06,190.0,193.0,193.0,193.0,1.58,50
39,HDL,2014-08-12,193.0,193.0,193.0,193.0,0.00,20
40,HDL,2014-08-18,193.0,199.0,196.0,199.0,3.11,40
41,HDL,2014-09-01,199.0,199.0,199.0,199.0,0.00,4470
42,HDL,2014-09-09,199.0,210.0,202.0,210.0,5.53,60
43,HDL,2014-09-28,210.0,218.0,214.0,218.0,3.81,70
44,HDL,2014-09-29,218.0,218.0,218.0,218.0,0.00,500
45,HDL,2014-10-13,218.0,222.0,222.0,222.0,1.83,30
46,HDL,2014-10-30,222.0,222.0,222.0,222.0,0.00,20
47,HDL,2014-11-02,222.0,234.0,226.0,234.0,5.41,60
48,HDL,2014-11-04,234.0,238.0,238.0,238.0,1.71,60
49,HDL,2014-11-06,238.0,253.0,249.0,253.0,6.30,20
50,HDL,2014-11-09,253.0,263.0,258.0,263.0,3.95,1450
51,HDL,2014-11-17,263.0,283.0,268.0,283.0,7.60,60
52,HDL,2014-11-30,283.0,293.0,288.0,293.0,3.53,30
53,HDL,2014-12-01,293.0,298.0,298.0,298.0,1.71,50
54,HDL,2014-12-07,298.0,303.0,303.0,303.0,1.68,10
55,HDL,2014-12-08,303.0,321.0,309.0,321.0,5.94,250
56,HDL,2014-12-09,321.0,345.0,327.0,345.0,7.48,1090
57,HDL,2014-12-10,345.0,358.0,351.0,358.0,3.77,80
58,HDL,2014-12-11,358.0,393.0,365.0,393.0,9.78,870
59,HDL,2014-12-14,393.0,432.0,400.0,432.0,9.92,2450
60,HDL,2014-12-15,432.0,456.0,424.0,456.0,5.56,240
61,HDL,2014-12-16,456.0,465.0,456.0,464.0,1.75,190
62,HDL,2014-12-17,464.0,460.0,455.0,460.0,-0.86,310
63,HDL,2014-12-18,460.0,484.0,469.0,484.0,5.22,180
64,HDL,2014-12-21,484.0,493.0,473.0,473.0,-2.27,1310
65,HDL,2014-12-28,473.0,464.0,438.0,438.0,-7.40,60
66,HDL,2015-01-05,438.0,430.0,406.0,406.0,-7.31,180
67,HDL,2015-01-06,406.0,446.0,398.0,446.0,9.85,2480
68,HDL,2015-01-07,446.0,490.0,450.0,490.0,9.87,2210
69,HDL,2015-01-08,490.0,539.0,499.0,539.0,10.00,1430
