,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,BANKING,2021-11-14,1822.93,1823.39,1806.38,1810.73,0.0,608043041.8
1,BANKING,2021-11-15,1810.73,1831.2,1810.31,1811.69,0.0,560198452.2
2,BANKING,2021-11-16,1814.32,1846.49,1812.84,1846.07,0.0,772020449.4
3,BANKING,2021-11-17,1857.67,1863.5,1849.04,1850.79,0.0,872609802.2
4,BANKING,2021-11-18,1857.52,1858.34,1825.97,1828.73,0.0,690314371.5
5,BANKING,2021-11-21,1831.68,1836.47,1820.3,1823.63,0.0,511492864.0
6,BANKING,2021-11-22,1824.21,1833.88,1823.06,1826.53,0.0,513558613.4
7,BANKING,2021-11-23,1826.52,1827.9,1807.04,1811.13,0.0,575873210.6
8,BANKING,2021-11-24,1810.72,1812.7,1790.31,1804.02,0.0,559831769.6
9,BANKING,2021-11-25,1803.35,1822.94,1798.57,1813.79,0.0,843687589.5
10,BANKING,2021-11-28,1812.6,1813.79,1777.13,1778.83,0.0,782993241.8
11,BANKING,2021-11-29,1776.34,1789.12,1763.56,1767.94,0.0,553711212.6
12,BANKING,2021-11-30,1767.0,1773.56,1747.93,1761.38,0.0,593234244.5
13,BANKING,2021-12-01,1761.38,1772.27,1761.16,1763.02,0.0,434220962.2
14,BANKING,2021-12-02,1763.64,1770.4,1741.21,1745.25,0.0,638492734.06
15,BANKING,2021-12-05,1744.66,1745.7,1699.91,1704.52,0.0,775786029.4
16,BANKING,2021-12-06,1700.68,1719.02,1657.95,1717.52,0.0,800774277.0
17,BANKING,2021-12-07,1720.17,1739.99,1703.05,1703.97,0.0,559653069.8
18,BANKING,2021-12-08,1702.16,1704.45,1672.11,1677.84,0.0,446501745.2
19,BANKING,2021-12-09,1677.84,1684.44,1658.83,1675.48,0.0,462596879.01
20,BANKING,2021-12-12,1675.27,1679.31,1628.48,1631.09,0.0,592114698.5
21,BANKING,2021-12-13,1627.78,1627.77,1580.04,1596.97,0.0,741652269.3
22,BANKING,2021-12-14,1596.98,1665.47,1596.97,1665.47,0.0,300025026.8
23,BANKING,2021-12-15,1668.45,1708.06,1639.97,1656.19,0.0,686047639.9
24,BANKING,2021-12-16,1657.68,1661.71,1641.92,1650.51,0.0,478532340.9
25,BANKING,2021-12-20,1667.2,1668.31,1634.2,1642.65,0.0,559760371.1
26,BANKING,2021-12-21,1642.65,1676.28,1642.03,1675.56,0.0,623772328.3
27,BANKING,2021-12-22,1688.87,1717.49,1685.32,1712.7,0.0,643250276.3
28,BANKING,2021-12-23,1728.23,1728.22,1704.08,1716.62,0.0,583705230.6
29,BANKING,2021-12-26,1725.62,1744.64,1725.02,1737.21,0.0,962169200.2
30,BANKING,2021-12-27,1739.74,1748.23,1708.09,1710.1,0.0,981320558.65
31,BANKING,2021-12-28,1711.11,1711.11,1691.6,1701.37,0.0,616405204.9
32,BANKING,2021-12-29,1701.37,1709.71,1696.68,1702.12,0.0,1072725033.6
33,BANKING,2022-01-02,1718.18,1736.35,1702.58,1736.06,0.0,936044696.6
34,BANKING,2022-01-03,1744.2,1768.14,1742.86,1761.46,0.0,970214818.1
35,BANKING,2022-01-04,1761.46,1825.13,1748.16,1825.13,0.0,1132630006.9
36,BANKING,2022-01-05,1833.49,1840.34,1793.2,1797.22,0.0,783351215.1
37,BANKING,2022-01-06,1793.76,1832.96,1785.25,1832.29,0.0,838643562.8
38,BANKING,2022-01-09,1840.36,1873.06,1840.35,1867.32,0.0,1477828915.9
39,BANKING,2022-01-10,1873.81,1880.53,1842.77,1852.03,0.0,1173274662.8
40,BANKING,2022-01-11,1857.01,1859.25,1840.71,1855.68,0.0,756227563.9
41,BANKING,2022-01-12,1862.34,1864.87,1832.03,1833.51,0.0,1109359204.2
42,BANKING,2022-01-13,1833.41,1844.18,1827.79,1843.38,0.0,718621437.0
43,BANKING,2022-01-16,1849.68,1883.23,1849.03,1883.09,0.0,1377442333.7
44,BANKING,2022-01-17,1896.75,1914.74,1881.56,1902.68,0.0,1018292241.9
45,BANKING,2022-01-18,1902.94,1950.26,1897.69,1925.06,0.0,1672255136.3
