,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,NABIL,2012-01-01,873.0,879.0,851.0,879.0,0.69,799
1,NABIL,2012-01-02,879.0,913.0,882.0,900.0,2.39,1002
2,NABIL,2012-01-03,900.0,916.0,892.0,892.0,-0.89,2653
3,NABIL,2012-01-04,892.0,875.0,842.0,865.0,-3.03,490
4,NABIL,2012-01-05,865.0,875.0,858.0,858.0,-0.81,121
5,NABIL,2012-01-08,858.0,845.0,814.0,830.0,-3.26,4835
6,NABIL,2012-01-09,830.0,846.0,830.0,846.0,1.93,195
7,NABIL,2012-01-10,846.0,862.0,845.0,845.0,-0.12,658
8,NABIL,2012-01-11,845.0,874.0,845.0,874.0,3.43,969
9,NABIL,2012-01-12,874.0,904.0,860.0,904.0,3.43,773
10,NABIL,2012-01-16,904.0,886.0,867.0,879.0,-2.77,235
11,NABIL,2012-01-17,879.0,865.0,820.0,861.0,-2.05,2244
12,NABIL,2012-01-18,861.0,882.0,830.0,882.0,2.44,1617
13,NABIL,2012-01-22,882.0,870.0,836.0,836.0,-5.22,1273
14,NABIL,2012-01-23,836.0,843.0,826.0,835.0,-0.12,1255
15,NABIL,2012-01-25,835.0,840.0,825.0,840.0,0.60,442
16,NABIL,2012-01-26,840.0,830.0,826.0,830.0,-1.19,408
17,NABIL,2012-01-29,830.0,830.0,823.0,830.0,0.00,496
18,NABIL,2012-01-31,830.0,845.0,842.0,842.0,1.45,143
19,NABIL,2012-02-01,842.0,840.0,832.0,832.0,-1.19,250
20,NABIL,2012-02-02,832.0,850.0,833.0,850.0,2.16,382
21,NABIL,2012-02-05,850.0,840.0,824.0,829.0,-2.47,1035
22,NABIL,2012-02-06,829.0,829.0,824.0,824.0,-0.60,545
23,NABIL,2012-02-07,824.0,833.0,820.0,830.0,0.73,816
24,NABIL,2012-02-08,830.0,841.0,830.0,841.0,1.33,187
25,NABIL,2012-02-09,841.0,840.0,830.0,840.0,-0.12,437
26,NABIL,2012-02-12,840.0,843.0,828.0,843.0,0.36,1780
27,NABIL,2012-02-13,843.0,876.0,832.0,876.0,3.91,885
28,NABIL,2012-02-14,876.0,870.0,860.0,860.0,-1.83,447
29,NABIL,2012-02-15,860.0,860.0,843.0,843.0,-1.98,182
30,NABIL,2012-02-16,843.0,850.0,833.0,850.0,0.83,1286
31,NABIL,2012-02-21,850.0,850.0,836.0,850.0,0.00,170
32,NABIL,2012-02-23,850.0,850.0,845.0,850.0,0.00,79
33,NABIL,2012-02-26,850.0,856.0,833.0,844.0,-0.71,1025
34,NABIL,2012-02-27,844.0,847.0,831.0,847.0,0.36,1055
35,NABIL,2012-02-28,847.0,867.0,845.0,867.0,2.36,825
36,NABIL,2012-02-29,867.0,869.0,860.0,861.0,-0.69,602
37,NABIL,2012-03-01,861.0,887.0,865.0,887.0,3.02,497
38,NABIL,2012-03-04,887.0,876.0,870.0,874.0,-1.47,590
39,NABIL,2012-03-05,874.0,887.0,866.0,883.0,1.03,571
40,NABIL,2012-03-06,883.0,885.0,875.0,882.0,-0.11,301
41,NABIL,2012-03-11,882.0,885.0,868.0,885.0,0.34,361
42,NABIL,2012-03-12,885.0,882.0,880.0,880.0,-0.56,256
43,NABIL,2012-03-13,880.0,880.0,863.0,880.0,0.00,501
44,NABIL,2012-03-14,880.0,875.0,860.0,860.0,-2.27,389
45,NABIL,2012-03-15,860.0,852.0,836.0,852.0,-0.93,446
46,NABIL,2012-03-18,852.0,869.0,850.0,867.0,1.76,168
47,NABIL,2012-03-19,867.0,882.0,853.0,882.0,1.73,281
48,NABIL,2012-03-20,882.0,874.0,847.0,874.0,-0.91,307
49,NABIL,2012-03-21,874.0,878.0,850.0,878.0,0.46,900
50,NABIL,2012-03-25,878.0,878.0,845.0,878.0,0.00,521
51,NABIL,2012-03-26,878.0,861.0,861.0,861.0,-1.94,50
52,NABIL,2012-03-27,861.0,873.0,850.0,867.0,0.70,342
53,NABIL,2012-03-28,867.0,867.0,850.0,867.0,0.00,317
54,NABIL,2012-03-29,867.0,867.0,850.0,867.0,0.00,64
55,NABIL,2012-04-01,867.0,852.0,835.0,852.0,-1.73,981
56,NABIL,2012-04-02,852.0,880.0,852.0,880.0,3.29,270
57,NABIL,2012-04-03,880.0,891.0,867.0,875.0,-0.57,145
58,NABIL,2012-04-04,875.0,902.0,878.0,902.0,3.09,106
59,NABIL,2012-04-08,902.0,895.0,879.0,895.0,-0.78,318
60,NABIL,2012-04-09,895.0,901.0,884.0,901.0,0.67,906
61,NABIL,2012-04-10,901.0,892.0,890.0,890.0,-1.22,249
62,NABIL,2012-04-11,890.0,925.0,885.0,910.0,2.25,1173
63,NABIL,2012-04-12,910.0,988.0,920.0,988.0,8.57,1316
64,NABIL,2012-04-15,988.0,1075.0,1007.0,1075.0,8.81,1840
65,NABIL,2012-04-17,1075.0,1182.0,994.0,1000.0,-6.98,2664
66,NABIL,2012-04-18,1000.0,1081.0,951.0,1081.0,8.10,1741
67,NABIL,2012-04-19,1081.0,1144.0,1078.0,1130.0,4.53,3104
68,NABIL,2012-04-22,1130.0,1200.0,1130.0,1200.0,6.19,3423
69,NABIL,2012-04-24,1200.0,1320.0,1224.0,1320.0,10.00,880
70,NABIL,2012-04-25,1320.0,1452.0,1346.0,1450.0,9.85,3631
71,NABIL,2012-04-26,1450.0,1550.0,1400.0,1550.0,6.90,6246
72,NABIL,2012-04-29,1550.0,1538.0,1461.0,1500.0,-3.23,4632
73,NABIL,2012-04-30,1500.0,1470.0,1380.0,1400.0,-6.67,2746
74,NABIL,2012-05-02,1400.0,1372.0,1260.0,1260.0,-10.00,956
75,NABIL,2012-05-03,1260.0,1386.0,1285.0,1386.0,10.00,522
76,NABIL,2012-05-07,1386.0,1524.0,1413.0,1524.0,9.96,1302
77,NABIL,2012-05-08,1524.0,1585.0,1470.0,1524.0,0.00,4092
78,NABIL,2012-05-09,1524.0,1554.0,1415.0,1459.0,-4.27,6781
79,NABIL,2012-05-10,1459.0,1453.0,1387.0,1420.0,-2.67,3591
80,NABIL,2012-05-13,1420.0,1392.0,1290.0,1302.0,-8.31,1788
81,NABIL,2012-05-14,1302.0,1276.0,1200.0,1219.0,-6.37,2577
82,NABIL,2012-05-15,1219.0,1340.0,1219.0,1340.0,9.93,2424
83,NABIL,2012-05-16,1340.0,1474.0,1340.0,1474.0,10.00,1090
84,NABIL,2012-05-17,1474.0,1563.0,1421.0,1450.0,-1.63,6367
85,NABIL,2012-05-20,1450.0,1458.0,1390.0,1450.0,0.00,1648
86,NABIL,2012-05-21,1450.0,1460.0,1400.0,1445.0,-0.34,3948
87,NABIL,2012-05-22,1445.0,1438.0,1380.0,1438.0,-0.48,1664
88,NABIL,2012-05-23,1438.0,1410.0,1325.0,1325.0,-7.86,617
89,NABIL,2012-05-24,1325.0,1400.0,1300.0,1369.0,3.32,3006
90,NABIL,2012-05-27,1369.0,1448.0,1372.0,1420.0,3.73,4735
91,NABIL,2012-05-29,1420.0,1392.0,1338.0,1338.0,-5.77,30
92,NABIL,2012-05-30,1338.0,1312.0,1205.0,1205.0,-9.94,399
93,NABIL,2012-05-31,1205.0,1228.0,1113.0,1200.0,-0.41,5417
94,NABIL,2012-06-03,1200.0,1320.0,1210.0,1313.0,9.42,2718
95,NABIL,2012-06-04,1313.0,1313.0,1265.0,1290.0,-1.75,2280
96,NABIL,2012-06-05,1290.0,1265.0,1217.0,1242.0,-3.72,1088
97,NABIL,2012-06-06,1242.0,1221.0,1190.0,1206.0,-2.90,4535
98,NABIL,2012-06-07,1206.0,1258.0,1210.0,1225.0,1.58,1504
99,NABIL,2012-06-10,1225.0,1210.0,1188.0,1205.0,-1.63,1572
100,NABIL,2012-06-11,1205.0,1253.0,1200.0,1200.0,-0.41,602
101,NABIL,2012-06-12,1200.0,1210.0,1195.0,1210.0,0.83,1025
102,NABIL,2012-06-13,1210.0,1220.0,1201.0,1220.0,0.83,197
103,NABIL,2012-06-14,1220.0,1215.0,1196.0,1212.0,-0.66,903
104,NABIL,2012-06-17,1212.0,1205.0,1194.0,1205.0,-0.58,306
105,NABIL,2012-06-18,1205.0,1224.0,1200.0,1210.0,0.41,320
106,NABIL,2012-06-19,1210.0,1211.0,1186.0,1211.0,0.08,624
107,NABIL,2012-06-20,1211.0,1258.0,1195.0,1212.0,0.08,226
108,NABIL,2012-06-21,1212.0,1212.0,1200.0,1205.0,-0.58,730
109,NABIL,2012-06-25,1205.0,1264.0,1197.0,1264.0,4.90,721
110,NABIL,2012-06-26,1264.0,1239.0,1218.0,1226.0,-3.01,358
111,NABIL,2012-06-27,1226.0,1264.0,1240.0,1249.0,1.88,1302
112,NABIL,2012-06-28,1249.0,1298.0,1250.0,1267.0,1.44,1238
113,NABIL,2012-07-01,1267.0,1260.0,1250.0,1260.0,-0.55,1135
114,NABIL,2012-07-02,1260.0,1250.0,1242.0,1245.0,-1.19,790
115,NABIL,2012-07-03,1245.0,1280.0,1250.0,1280.0,2.81,1302
116,NABIL,2012-07-04,1280.0,1325.0,1281.0,1302.0,1.72,784
117,NABIL,2012-07-05,1302.0,1293.0,1276.0,1293.0,-0.69,789
118,NABIL,2012-07-08,1293.0,1281.0,1265.0,1281.0,-0.93,1230
119,NABIL,2012-07-09,1281.0,1285.0,1260.0,1275.0,-0.47,907
120,NABIL,2012-07-10,1275.0,1302.0,1288.0,1300.0,1.96,955
121,NABIL,2012-07-11,1300.0,1316.0,1310.0,1310.0,0.77,1338
122,NABIL,2012-07-12,1310.0,1319.0,1301.0,1319.0,0.69,1100
123,NABIL,2012-07-15,1319.0,1365.0,1338.0,1355.0,2.73,1155
124,NABIL,2012-07-16,1355.0,1353.0,1340.0,1350.0,-0.37,904
125,NABIL,2012-07-17,1350.0,1371.0,1350.0,1371.0,1.56,2701
126,NABIL,2012-07-18,1371.0,1395.0,1368.0,1382.0,0.80,2406
127,NABIL,2012-07-19,1382.0,1443.0,1400.0,1430.0,3.47,1362
128,NABIL,2012-07-22,1430.0,1478.0,1430.0,1475.0,3.15,4131
129,NABIL,2012-07-23,1475.0,1502.0,1478.0,1483.0,0.54,3631
130,NABIL,2012-07-24,1483.0,1486.0,1447.0,1474.0,-0.61,3187
131,NABIL,2012-07-25,1474.0,1490.0,1462.0,1470.0,-0.27,2707
132,NABIL,2012-07-26,1470.0,1465.0,1450.0,1450.0,-1.36,1828
133,NABIL,2012-07-29,1450.0,1450.0,1431.0,1440.0,-0.69,943
134,NABIL,2012-07-30,1440.0,1455.0,1420.0,1450.0,0.69,2028
135,NABIL,2012-07-31,1450.0,1462.0,1441.0,1450.0,0.00,651
136,NABIL,2012-08-01,1450.0,1470.0,1450.0,1460.0,0.69,2222
137,NABIL,2012-08-05,1460.0,1470.0,1440.0,1470.0,0.68,969
138,NABIL,2012-08-06,1470.0,1481.0,1470.0,1478.0,0.54,897
139,NABIL,2012-08-07,1478.0,1486.0,1470.0,1480.0,0.14,975
140,NABIL,2012-08-08,1480.0,1475.0,1460.0,1469.0,-0.74,1167
141,NABIL,2012-08-12,1469.0,1460.0,1451.0,1451.0,-1.23,508
142,NABIL,2012-08-13,1451.0,1500.0,1455.0,1461.0,0.69,3040
143,NABIL,2012-08-14,1461.0,1473.0,1450.0,1455.0,-0.41,1350
144,NABIL,2012-08-15,1455.0,1460.0,1445.0,1450.0,-0.34,2545
145,NABIL,2012-08-16,1450.0,1475.0,1447.0,1469.0,1.31,2466
146,NABIL,2012-08-19,1469.0,1451.0,1441.0,1451.0,-1.23,385
147,NABIL,2012-08-21,1451.0,1465.0,1430.0,1465.0,0.96,2488
148,NABIL,2012-08-22,1465.0,1472.0,1451.0,1462.0,-0.20,1036
149,NABIL,2012-08-23,1462.0,1468.0,1441.0,1465.0,0.21,1546
150,NABIL,2012-08-26,1465.0,1465.0,1430.0,1439.0,-1.77,569
151,NABIL,2012-08-27,1439.0,1450.0,1436.0,1450.0,0.76,1059
152,NABIL,2012-08-28,1450.0,1451.0,1437.0,1437.0,-0.90,1216
153,NABIL,2012-08-29,1437.0,1440.0,1423.0,1440.0,0.21,1265
154,NABIL,2012-08-30,1440.0,1437.0,1405.0,1437.0,-0.21,1420
155,NABIL,2012-09-02,1437.0,1464.0,1440.0,1462.0,1.74,1427
156,NABIL,2012-09-03,1462.0,1469.0,1450.0,1460.0,-0.14,731
157,NABIL,2012-09-04,1460.0,1459.0,1432.0,1455.0,-0.34,683
158,NABIL,2012-09-05,1455.0,1460.0,1440.0,1451.0,-0.27,681
159,NABIL,2012-09-06,1451.0,1451.0,1440.0,1443.0,-0.55,2276
160,NABIL,2012-09-09,1443.0,1449.0,1435.0,1448.0,0.35,1031
161,NABIL,2012-09-10,1448.0,1441.0,1426.0,1426.0,-1.52,524
162,NABIL,2012-09-11,1426.0,1520.0,1454.0,1490.0,4.49,7009
163,NABIL,2012-09-12,1490.0,1505.0,1480.0,1480.0,-0.67,5042
164,NABIL,2012-09-13,1480.0,1489.0,1478.0,1481.0,0.07,1771
165,NABIL,2012-09-16,1481.0,1491.0,1480.0,1485.0,0.27,1019
166,NABIL,2012-09-17,1485.0,1488.0,1481.0,1488.0,0.20,1287
167,NABIL,2012-09-18,1488.0,1500.0,1486.0,1486.0,-0.13,897
168,NABIL,2012-09-19,1486.0,1490.0,1480.0,1482.0,-0.27,998
169,NABIL,2012-09-20,1482.0,1470.0,1445.0,1470.0,-0.81,350
170,NABIL,2012-09-23,1470.0,1460.0,1442.0,1452.0,-1.22,921
171,NABIL,2012-09-24,1452.0,1436.0,1410.0,1436.0,-1.10,898
172,NABIL,2012-09-25,1436.0,1434.0,1415.0,1426.0,-0.70,1942
173,NABIL,2012-09-26,1426.0,1452.0,1400.0,1410.0,-1.12,6206
174,NABIL,2012-09-27,1410.0,1420.0,1410.0,1419.0,0.64,1035
175,NABIL,2012-09-30,1419.0,1444.0,1400.0,1400.0,-1.34,1097
176,NABIL,2012-10-01,1400.0,1428.0,1400.0,1402.0,0.14,4518
177,NABIL,2012-10-02,1402.0,1413.0,1375.0,1385.0,-1.21,5576
178,NABIL,2012-10-03,1385.0,1131.0,1120.0,1120.0,-19.13,218
179,NABIL,2012-10-04,1120.0,1125.0,1101.0,1125.0,0.45,723
180,NABIL,2012-10-07,1125.0,1145.0,1133.0,1145.0,1.78,1039
181,NABIL,2012-10-08,1145.0,1160.0,1145.0,1150.0,0.44,570
182,NABIL,2012-10-09,1150.0,1162.0,1140.0,1162.0,1.04,514
183,NABIL,2012-10-10,1162.0,1152.0,1143.0,1152.0,-0.86,224
184,NABIL,2012-10-11,1152.0,1140.0,1135.0,1135.0,-1.48,377
185,NABIL,2012-10-14,1135.0,1157.0,1135.0,1157.0,1.94,177
186,NABIL,2012-10-15,1157.0,1160.0,1160.0,1160.0,0.26,26
187,NABIL,2012-10-17,1160.0,1160.0,1160.0,1160.0,0.00,211
188,NABIL,2012-10-18,1160.0,1165.0,1137.0,1165.0,0.43,636
189,NABIL,2012-10-30,1165.0,1224.0,1185.0,1224.0,5.06,291
190,NABIL,2012-10-31,1224.0,1248.0,1224.0,1247.0,1.88,806
191,NABIL,2012-11-01,1247.0,1249.0,1220.0,1249.0,0.16,1358
192,NABIL,2012-11-04,1249.0,1290.0,1250.0,1265.0,1.28,602
193,NABIL,2012-11-05,1265.0,1310.0,1280.0,1280.0,1.19,521
194,NABIL,2012-11-06,1280.0,1329.0,1300.0,1316.0,2.81,2280
195,NABIL,2012-11-07,1316.0,1447.0,1342.0,1447.0,9.95,1661
196,NABIL,2012-11-08,1447.0,1575.0,1475.0,1504.0,3.94,5562
197,NABIL,2012-11-11,1504.0,1505.0,1376.0,1410.0,-6.25,3220
198,NABIL,2012-11-12,1410.0,1455.0,1400.0,1455.0,3.19,1858
199,NABIL,2012-11-18,1455.0,1504.0,1455.0,1503.0,3.30,5211
200,NABIL,2012-11-20,1503.0,1572.0,1529.0,1550.0,3.13,3483
201,NABIL,2012-11-21,1550.0,1565.0,1525.0,1535.0,-0.97,2159
202,NABIL,2012-11-22,1535.0,1510.0,1480.0,1510.0,-1.63,3477
203,NABIL,2012-11-25,1510.0,1517.0,1480.0,1501.0,-0.60,5926
204,NABIL,2012-11-26,1501.0,1492.0,1470.0,1478.0,-1.53,14328
205,NABIL,2012-11-27,1478.0,1485.0,1467.0,1485.0,0.47,2331
206,NABIL,2012-11-28,1485.0,1499.0,1460.0,1499.0,0.94,1685
207,NABIL,2012-11-29,1499.0,1470.0,1452.0,1460.0,-2.60,513
208,NABIL,2012-12-02,1460.0,1461.0,1426.0,1445.0,-1.03,3251
209,NABIL,2012-12-03,1445.0,1460.0,1403.0,1460.0,1.04,1078
210,NABIL,2012-12-04,1460.0,1489.0,1460.0,1466.0,0.41,1708
