,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,NICA,2013-07-14,750.0,504.0,477.0,504.0,-32.80,40
1,NICA,2013-07-15,504.0,554.0,529.0,554.0,9.92,40
2,NICA,2013-07-17,554.0,609.0,565.0,609.0,9.93,150
3,NICA,2013-07-18,609.0,669.0,621.0,669.0,9.85,1706
4,NICA,2013-07-21,669.0,735.0,682.0,735.0,9.87,12269
5,NICA,2013-07-22,735.0,808.0,736.0,748.0,1.77,50250
6,NICA,2013-07-23,748.0,750.0,736.0,737.0,-1.47,23541
7,NICA,2013-07-24,737.0,739.0,697.0,710.0,-3.66,25879
8,NICA,2013-07-25,710.0,705.0,690.0,697.0,-1.83,12985
9,NICA,2013-07-28,697.0,705.0,690.0,700.0,0.43,12444
10,NICA,2013-07-29,700.0,714.0,700.0,713.0,1.86,12604
11,NICA,2013-07-30,713.0,739.0,710.0,733.0,2.81,11888
12,NICA,2013-07-31,733.0,743.0,720.0,732.0,-0.14,16045
13,NICA,2013-08-01,732.0,746.0,722.0,726.0,-0.82,16832
14,NICA,2013-08-04,726.0,730.0,710.0,710.0,-2.20,13593
15,NICA,2013-08-05,710.0,710.0,690.0,702.0,-1.13,10674
16,NICA,2013-08-06,702.0,707.0,662.0,700.0,-0.28,10700
17,NICA,2013-08-07,700.0,707.0,686.0,690.0,-1.43,9805
18,NICA,2013-08-08,690.0,690.0,670.0,670.0,-2.90,21368
19,NICA,2013-08-11,670.0,670.0,660.0,663.0,-1.04,6558
20,NICA,2013-08-12,663.0,664.0,655.0,657.0,-0.90,5132
21,NICA,2013-08-13,657.0,665.0,650.0,658.0,0.15,4580
22,NICA,2013-08-14,658.0,655.0,628.0,628.0,-4.56,10225
23,NICA,2013-08-15,628.0,628.0,604.0,614.0,-2.23,10293
24,NICA,2013-08-18,614.0,642.0,614.0,638.0,3.91,8933
25,NICA,2013-08-19,638.0,649.0,632.0,640.0,0.31,4023
26,NICA,2013-08-20,640.0,652.0,635.0,647.0,1.09,11568
27,NICA,2013-08-25,647.0,647.0,638.0,644.0,-0.46,6208
28,NICA,2013-08-26,644.0,645.0,628.0,631.0,-2.02,6237
29,NICA,2013-08-27,631.0,650.0,626.0,640.0,1.43,11433
30,NICA,2013-08-29,640.0,645.0,631.0,638.0,-0.31,23136
31,NICA,2013-09-01,638.0,638.0,630.0,635.0,-0.47,7678
32,NICA,2013-09-02,635.0,641.0,626.0,635.0,0.00,10758
33,NICA,2013-09-03,635.0,638.0,629.0,630.0,-0.79,20263
34,NICA,2013-09-04,630.0,642.0,622.0,625.0,-0.79,3978
35,NICA,2013-09-05,625.0,625.0,621.0,625.0,0.00,4271
36,NICA,2013-09-08,625.0,634.0,620.0,621.0,-0.64,21774
37,NICA,2013-09-09,621.0,634.0,620.0,633.0,1.93,8818
38,NICA,2013-09-10,633.0,638.0,620.0,620.0,-2.05,5479
39,NICA,2013-09-11,620.0,625.0,616.0,625.0,0.81,8212
40,NICA,2013-09-12,625.0,622.0,619.0,622.0,-0.48,1797
41,NICA,2013-09-15,622.0,623.0,618.0,618.0,-0.64,4941
42,NICA,2013-09-16,618.0,617.0,605.0,615.0,-0.49,3632
43,NICA,2013-09-17,615.0,614.0,608.0,611.0,-0.65,6735
44,NICA,2013-09-19,611.0,610.0,600.0,610.0,-0.16,5987
45,NICA,2013-09-22,610.0,598.0,587.0,594.0,-2.62,2361
46,NICA,2013-09-23,594.0,596.0,584.0,596.0,0.34,6184
47,NICA,2013-09-24,596.0,604.0,597.0,603.0,1.17,5223
48,NICA,2013-09-25,603.0,598.0,590.0,598.0,-0.83,3376
49,NICA,2013-09-26,598.0,605.0,593.0,594.0,-0.67,2222
50,NICA,2013-09-29,594.0,594.0,588.0,593.0,-0.17,5097
51,NICA,2013-09-30,593.0,590.0,581.0,584.0,-1.52,2382
52,NICA,2013-10-01,584.0,589.0,581.0,584.0,0.00,3171
53,NICA,2013-10-02,584.0,596.0,579.0,595.0,1.88,1017
54,NICA,2013-10-03,595.0,595.0,584.0,595.0,0.00,2064
55,NICA,2013-10-06,595.0,607.0,587.0,607.0,2.02,2617
56,NICA,2013-10-07,607.0,646.0,599.0,622.0,2.47,431
57,NICA,2013-10-08,622.0,617.0,605.0,615.0,-1.13,1616
58,NICA,2013-10-09,615.0,615.0,595.0,615.0,0.00,944
59,NICA,2013-10-10,615.0,620.0,603.0,620.0,0.81,2612
60,NICA,2013-10-17,620.0,647.0,620.0,635.0,2.42,2059
61,NICA,2013-10-20,635.0,663.0,635.0,660.0,3.94,7738
62,NICA,2013-10-21,660.0,693.0,652.0,666.0,0.91,9821
63,NICA,2013-10-22,666.0,665.0,645.0,645.0,-3.15,9367
64,NICA,2013-10-23,645.0,644.0,635.0,640.0,-0.78,3207
65,NICA,2013-10-24,640.0,641.0,630.0,638.0,-0.31,4392
66,NICA,2013-10-27,638.0,643.0,610.0,627.0,-1.72,20010
67,NICA,2013-10-28,627.0,621.0,613.0,620.0,-1.12,4234
68,NICA,2013-10-29,620.0,640.0,618.0,630.0,1.61,7580
69,NICA,2013-10-30,630.0,641.0,616.0,641.0,1.75,4278
70,NICA,2013-10-31,641.0,645.0,622.0,630.0,-1.72,13446
71,NICA,2013-11-06,630.0,627.0,615.0,627.0,-0.48,1100
72,NICA,2013-11-07,627.0,655.0,628.0,635.0,1.28,3833
73,NICA,2013-11-10,635.0,642.0,630.0,630.0,-0.79,5508
74,NICA,2013-11-11,630.0,654.0,627.0,654.0,3.81,5107
75,NICA,2013-11-12,654.0,685.0,650.0,655.0,0.15,6554
76,NICA,2013-11-13,655.0,667.0,636.0,645.0,-1.53,17494
77,NICA,2013-11-14,645.0,647.0,639.0,647.0,0.31,6439
78,NICA,2013-11-21,647.0,708.0,659.0,695.0,7.42,7277
79,NICA,2013-11-24,695.0,764.0,687.0,698.0,0.43,18544
80,NICA,2013-11-25,698.0,698.0,664.0,668.0,-4.30,9430
81,NICA,2013-11-26,668.0,685.0,660.0,671.0,0.45,7622
82,NICA,2013-11-27,671.0,675.0,651.0,658.0,-1.94,2173
83,NICA,2013-11-28,658.0,660.0,640.0,651.0,-1.06,7138
84,NICA,2013-12-01,651.0,662.0,645.0,650.0,-0.15,107794
