,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,NTC,2012-01-01,422.0,430.0,425.0,427.0,1.18,450
1,NTC,2012-01-02,427.0,436.0,420.0,436.0,2.11,1055
2,NTC,2012-01-03,436.0,435.0,430.0,435.0,-0.23,1270
3,NTC,2012-01-04,435.0,437.0,425.0,425.0,-2.30,2020
4,NTC,2012-01-05,425.0,435.0,420.0,435.0,2.35,1040
5,NTC,2012-01-08,435.0,434.0,427.0,427.0,-1.84,1885
6,NTC,2012-01-09,427.0,437.0,424.0,430.0,0.70,2855
7,NTC,2012-01-10,430.0,446.0,435.0,438.0,1.86,2310
8,NTC,2012-01-11,438.0,440.0,433.0,439.0,0.23,2800
9,NTC,2012-01-12,439.0,440.0,438.0,439.0,0.00,650
10,NTC,2012-01-16,439.0,443.0,440.0,443.0,0.91,2205
11,NTC,2012-01-17,443.0,448.0,448.0,448.0,1.13,100
12,NTC,2012-01-18,448.0,450.0,440.0,440.0,-1.79,1100
13,NTC,2012-01-22,438.0,444.0,435.0,444.0,1.37,385
14,NTC,2012-01-23,444.0,438.0,435.0,437.0,-1.58,875
15,NTC,2012-01-25,437.0,438.0,434.0,436.0,-0.23,980
16,NTC,2012-01-26,436.0,436.0,436.0,436.0,0.00,1490
17,NTC,2012-01-29,436.0,439.0,432.0,436.0,0.00,6345
18,NTC,2012-01-31,436.0,439.0,434.0,436.0,0.00,950
19,NTC,2012-02-01,436.0,439.0,434.0,439.0,0.69,410
20,NTC,2012-02-02,439.0,438.0,431.0,438.0,-0.23,2000
21,NTC,2012-02-05,438.0,435.0,435.0,435.0,-0.68,600
22,NTC,2012-02-06,435.0,436.0,433.0,433.0,-0.46,4205
23,NTC,2012-02-07,433.0,438.0,433.0,433.0,0.00,2280
24,NTC,2012-02-08,433.0,436.0,431.0,434.0,0.23,2770
25,NTC,2012-02-09,434.0,436.0,433.0,435.0,0.23,1090
26,NTC,2012-02-12,435.0,435.0,433.0,433.0,-0.46,2375
27,NTC,2012-02-13,433.0,437.0,433.0,435.0,0.46,1630
28,NTC,2012-02-14,435.0,437.0,435.0,435.0,0.00,1965
29,NTC,2012-02-15,435.0,437.0,435.0,436.0,0.23,4900
30,NTC,2012-02-16,436.0,441.0,438.0,441.0,1.15,855
31,NTC,2012-02-21,441.0,443.0,441.0,441.0,0.00,1835
32,NTC,2012-02-23,441.0,446.0,444.0,445.0,0.91,10500
33,NTC,2012-02-26,445.0,444.0,440.0,444.0,-0.22,2700
34,NTC,2012-02-27,444.0,447.0,443.0,445.0,0.23,1260
35,NTC,2012-02-28,445.0,453.0,445.0,447.0,0.45,3350
36,NTC,2012-02-29,447.0,449.0,447.0,449.0,0.45,1195
37,NTC,2012-03-01,449.0,452.0,447.0,452.0,0.67,2660
38,NTC,2012-03-04,452.0,453.0,447.0,447.0,-1.11,1640
39,NTC,2012-03-05,447.0,452.0,448.0,448.0,0.22,1375
40,NTC,2012-03-06,448.0,447.0,447.0,447.0,-0.22,445
41,NTC,2012-03-11,447.0,453.0,447.0,452.0,1.12,4930
42,NTC,2012-03-12,452.0,454.0,447.0,449.0,-0.66,5030
43,NTC,2012-03-13,449.0,451.0,445.0,450.0,0.22,10610
44,NTC,2012-03-14,450.0,453.0,448.0,450.0,0.00,2655
45,NTC,2012-03-15,450.0,455.0,448.0,448.0,-0.44,2280
46,NTC,2012-03-18,448.0,440.0,404.0,405.0,-9.60,2055
47,NTC,2012-03-19,405.0,406.0,404.0,404.0,-0.25,600
48,NTC,2012-03-20,404.0,405.0,400.0,400.0,-0.99,1200
49,NTC,2012-03-21,400.0,405.0,404.0,405.0,1.25,640
50,NTC,2012-03-25,405.0,407.0,404.0,406.0,0.25,1070
51,NTC,2012-03-26,406.0,405.0,401.0,405.0,-0.25,800
52,NTC,2012-03-27,405.0,406.0,401.0,406.0,0.25,1160
53,NTC,2012-03-28,406.0,408.0,405.0,406.0,0.00,520
54,NTC,2012-03-29,406.0,406.0,400.0,400.0,-1.48,715
55,NTC,2012-04-01,400.0,403.0,402.0,402.0,0.50,450
56,NTC,2012-04-02,402.0,403.0,402.0,402.0,0.00,930
57,NTC,2012-04-03,402.0,403.0,401.0,401.0,-0.25,700
58,NTC,2012-04-04,401.0,403.0,396.0,402.0,0.25,1135
59,NTC,2012-04-05,402.0,404.0,404.0,404.0,0.50,100
60,NTC,2012-04-08,404.0,404.0,404.0,404.0,0.00,795
61,NTC,2012-04-09,404.0,406.0,404.0,404.0,0.00,2290
62,NTC,2012-04-10,404.0,406.0,402.0,404.0,0.00,2710
63,NTC,2012-04-11,404.0,414.0,406.0,407.0,0.74,2200
64,NTC,2012-04-12,407.0,416.0,405.0,414.0,1.72,2945
65,NTC,2012-04-15,414.0,430.0,415.0,430.0,3.86,2375
66,NTC,2012-04-16,430.0,473.0,438.0,473.0,10.00,1140
67,NTC,2012-04-17,473.0,510.0,438.0,438.0,-7.40,8720
68,NTC,2012-04-18,438.0,462.0,436.0,452.0,3.20,8350
69,NTC,2012-04-19,452.0,465.0,450.0,455.0,0.66,3590
70,NTC,2012-04-22,455.0,466.0,458.0,466.0,2.42,5165
71,NTC,2012-04-24,466.0,483.0,475.0,476.0,2.15,1125
72,NTC,2012-04-25,476.0,494.0,485.0,486.0,2.10,1230
73,NTC,2012-04-26,486.0,530.0,468.0,521.0,7.20,13900
74,NTC,2012-04-29,521.0,525.0,491.0,520.0,-0.19,7160
75,NTC,2012-04-30,520.0,510.0,490.0,495.0,-4.81,5790
76,NTC,2012-05-02,495.0,486.0,450.0,450.0,-9.09,1435
77,NTC,2012-05-03,450.0,459.0,459.0,459.0,2.00,30
78,NTC,2012-05-07,459.0,499.0,481.0,499.0,8.71,310
79,NTC,2012-05-08,499.0,520.0,500.0,508.0,1.80,15200
80,NTC,2012-05-09,508.0,508.0,491.0,500.0,-1.57,7710
81,NTC,2012-05-10,500.0,505.0,476.0,495.0,-1.00,3970
82,NTC,2012-05-13,495.0,486.0,463.0,473.0,-4.44,6395
83,NTC,2012-05-14,473.0,470.0,457.0,464.0,-1.90,4650
84,NTC,2012-05-15,464.0,473.0,473.0,473.0,1.94,50
85,NTC,2012-05-16,473.0,520.0,482.0,520.0,9.94,1280
86,NTC,2012-05-17,520.0,540.0,502.0,507.0,-2.50,4810
87,NTC,2012-05-20,507.0,501.0,479.0,490.0,-3.35,1260
88,NTC,2012-05-21,490.0,500.0,490.0,498.0,1.63,2675
89,NTC,2012-05-22,498.0,500.0,485.0,485.0,-2.61,1530
90,NTC,2012-05-23,485.0,476.0,460.0,460.0,-5.15,1540
91,NTC,2012-05-24,460.0,488.0,462.0,481.0,4.57,1545
92,NTC,2012-05-27,481.0,501.0,479.0,501.0,4.16,4270
93,NTC,2012-05-29,501.0,491.0,451.0,451.0,-9.98,1290
94,NTC,2012-05-30,451.0,443.0,427.0,438.0,-2.88,8335
95,NTC,2012-05-31,438.0,472.0,435.0,451.0,2.97,3540
96,NTC,2012-06-03,451.0,496.0,460.0,488.0,8.20,1240
97,NTC,2012-06-04,488.0,479.0,461.0,472.0,-3.28,1900
98,NTC,2012-06-05,472.0,470.0,460.0,465.0,-1.48,805
99,NTC,2012-06-06,465.0,462.0,456.0,457.0,-1.72,2320
100,NTC,2012-06-07,457.0,474.0,463.0,463.0,1.31,785
101,NTC,2012-06-10,463.0,465.0,458.0,461.0,-0.43,1100
102,NTC,2012-06-11,461.0,467.0,460.0,465.0,0.87,1450
103,NTC,2012-06-12,465.0,474.0,465.0,468.0,0.65,450
104,NTC,2012-06-13,468.0,467.0,459.0,464.0,-0.85,1885
105,NTC,2012-06-14,464.0,465.0,465.0,465.0,0.22,855
106,NTC,2012-06-17,465.0,465.0,458.0,460.0,-1.08,2395
107,NTC,2012-06-18,460.0,465.0,452.0,464.0,0.87,2060
108,NTC,2012-06-19,464.0,464.0,455.0,463.0,-0.22,5635
109,NTC,2012-06-20,463.0,469.0,458.0,462.0,-0.22,1000
110,NTC,2012-06-21,462.0,463.0,454.0,460.0,-0.43,1810
111,NTC,2012-06-25,460.0,474.0,455.0,472.0,2.61,4710
112,NTC,2012-06-26,472.0,470.0,465.0,465.0,-1.48,1870
113,NTC,2012-06-27,465.0,470.0,452.0,470.0,1.08,2460
114,NTC,2012-06-28,470.0,480.0,466.0,480.0,2.13,2970
115,NTC,2012-07-01,480.0,475.0,470.0,470.0,-2.08,1630
116,NTC,2012-07-02,470.0,472.0,470.0,472.0,0.43,1245
117,NTC,2012-07-03,472.0,475.0,465.0,471.0,-0.21,1300
118,NTC,2012-07-04,471.0,489.0,470.0,475.0,0.85,3155
119,NTC,2012-07-05,475.0,481.0,475.0,475.0,0.00,345
120,NTC,2012-07-08,475.0,486.0,475.0,480.0,1.05,6960
121,NTC,2012-07-09,480.0,497.0,480.0,490.0,2.08,5285
122,NTC,2012-07-10,490.0,501.0,491.0,498.0,1.63,6815
123,NTC,2012-07-11,498.0,491.0,489.0,490.0,-1.61,1700
124,NTC,2012-07-12,490.0,490.0,481.0,490.0,0.00,4260
125,NTC,2012-07-15,490.0,503.0,489.0,503.0,2.65,1190
126,NTC,2012-07-16,503.0,493.0,489.0,490.0,-2.58,730
127,NTC,2012-07-17,490.0,492.0,473.0,490.0,0.00,1180
128,NTC,2012-07-18,490.0,501.0,490.0,500.0,2.04,6145
129,NTC,2012-07-19,500.0,511.0,503.0,505.0,1.00,4340
130,NTC,2012-07-22,505.0,528.0,510.0,525.0,3.96,5625
131,NTC,2012-07-23,525.0,540.0,525.0,526.0,0.19,5950
132,NTC,2012-07-24,526.0,530.0,511.0,530.0,0.76,3320
133,NTC,2012-07-25,530.0,540.0,524.0,524.0,-1.13,1810
134,NTC,2012-07-26,524.0,523.0,519.0,520.0,-0.76,1540
135,NTC,2012-07-29,520.0,520.0,510.0,510.0,-1.92,1170
136,NTC,2012-07-30,510.0,525.0,511.0,525.0,2.94,2430
137,NTC,2012-07-31,525.0,521.0,518.0,521.0,-0.76,7925
138,NTC,2012-08-01,521.0,525.0,515.0,525.0,0.77,3835
139,NTC,2012-08-05,525.0,530.0,515.0,525.0,0.00,2380
140,NTC,2012-08-06,525.0,525.0,520.0,523.0,-0.38,3440
141,NTC,2012-08-07,523.0,528.0,525.0,528.0,0.96,2070
142,NTC,2012-08-08,528.0,530.0,525.0,530.0,0.38,2470
143,NTC,2012-08-12,530.0,532.0,525.0,531.0,0.19,5735
144,NTC,2012-08-13,531.0,535.0,527.0,535.0,0.75,8300
145,NTC,2012-08-14,535.0,537.0,533.0,537.0,0.37,4970
146,NTC,2012-08-15,537.0,535.0,530.0,534.0,-0.56,7080
