,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,EBL,2012-01-01,696.0,695.0,681.0,685.0,-1.58,6914
1,EBL,2012-01-02,685.0,714.0,680.0,714.0,4.23,9126
2,EBL,2012-01-03,714.0,714.0,700.0,700.0,-1.96,4018
3,EBL,2012-01-04,700.0,700.0,680.0,681.0,-2.71,18324
4,EBL,2012-01-05,681.0,702.0,680.0,702.0,3.08,5733
5,EBL,2012-01-08,702.0,700.0,675.0,700.0,-0.28,9151
6,EBL,2012-01-09,700.0,686.0,670.0,670.0,-4.29,12252
7,EBL,2012-01-10,670.0,709.0,661.0,690.0,2.99,389
8,EBL,2012-01-11,690.0,740.0,670.0,714.0,3.48,1369
9,EBL,2012-01-12,714.0,728.0,711.0,728.0,1.96,110
10,EBL,2012-01-16,728.0,714.0,686.0,693.0,-4.81,429
11,EBL,2012-01-17,693.0,711.0,685.0,697.0,0.58,283
12,EBL,2012-01-18,697.0,703.0,690.0,693.0,-0.57,821
13,EBL,2012-01-22,687.0,692.0,685.0,685.0,-0.29,183
14,EBL,2012-01-23,685.0,685.0,670.0,670.0,-2.19,3838
15,EBL,2012-01-25,670.0,683.0,670.0,682.0,1.79,1151
16,EBL,2012-01-26,682.0,691.0,670.0,690.0,1.17,330
17,EBL,2012-01-29,690.0,680.0,670.0,680.0,-1.45,3345
18,EBL,2012-01-31,680.0,680.0,670.0,675.0,-0.74,453
19,EBL,2012-02-01,675.0,687.0,670.0,687.0,1.78,1427
20,EBL,2012-02-02,687.0,682.0,670.0,680.0,-1.02,2007
21,EBL,2012-02-05,680.0,684.0,671.0,672.0,-1.18,67
22,EBL,2012-02-06,672.0,673.0,670.0,672.0,0.00,1677
23,EBL,2012-02-07,672.0,683.0,665.0,683.0,1.64,1337
24,EBL,2012-02-08,683.0,696.0,696.0,696.0,1.90,210
25,EBL,2012-02-09,696.0,709.0,665.0,696.0,0.00,1552
26,EBL,2012-02-12,696.0,683.0,670.0,683.0,-1.87,968
27,EBL,2012-02-13,683.0,684.0,670.0,671.0,-1.76,800
28,EBL,2012-02-14,671.0,672.0,667.0,667.0,-0.60,6670
29,EBL,2012-02-15,667.0,679.0,668.0,679.0,1.80,1229
30,EBL,2012-02-16,679.0,688.0,665.0,670.0,-1.33,2457
31,EBL,2012-02-21,670.0,680.0,665.0,680.0,1.49,1290
32,EBL,2012-02-23,680.0,694.0,665.0,694.0,2.06,3286
33,EBL,2012-02-26,694.0,681.0,665.0,680.0,-2.02,4064
34,EBL,2012-02-27,680.0,688.0,671.0,688.0,1.18,573
35,EBL,2012-02-28,688.0,698.0,670.0,698.0,1.45,3642
36,EBL,2012-02-29,698.0,685.0,670.0,676.0,-3.15,2794
37,EBL,2012-03-01,676.0,690.0,655.0,690.0,2.07,33581
38,EBL,2012-03-04,690.0,683.0,668.0,683.0,-1.01,1949
39,EBL,2012-03-05,683.0,686.0,665.0,686.0,0.44,6761
40,EBL,2012-03-06,686.0,690.0,665.0,690.0,0.58,3519
41,EBL,2012-03-11,690.0,683.0,670.0,683.0,-1.01,770
42,EBL,2012-03-12,683.0,683.0,665.0,683.0,0.00,1930
43,EBL,2012-03-13,683.0,670.0,650.0,670.0,-1.90,152797
44,EBL,2012-03-14,670.0,692.0,669.0,692.0,3.28,828
45,EBL,2012-03-15,692.0,683.0,670.0,683.0,-1.30,564
46,EBL,2012-03-18,683.0,684.0,665.0,678.0,-0.73,4530
47,EBL,2012-03-19,678.0,678.0,665.0,665.0,-1.92,4922
48,EBL,2012-03-20,665.0,695.0,667.0,695.0,4.51,416
49,EBL,2012-03-21,695.0,700.0,671.0,700.0,0.72,582
50,EBL,2012-03-25,700.0,686.0,670.0,683.0,-2.43,880
51,EBL,2012-03-26,683.0,678.0,665.0,678.0,-0.73,8350
52,EBL,2012-03-27,678.0,678.0,662.0,678.0,0.00,5611
53,EBL,2012-03-28,678.0,678.0,665.0,678.0,0.00,4252
54,EBL,2012-03-29,678.0,670.0,665.0,670.0,-1.18,4310
55,EBL,2012-04-01,670.0,705.0,666.0,705.0,5.22,328
56,EBL,2012-04-02,705.0,691.0,673.0,680.0,-3.55,289
57,EBL,2012-04-03,680.0,688.0,666.0,688.0,1.18,3949
58,EBL,2012-04-04,688.0,689.0,675.0,689.0,0.15,2384
59,EBL,2012-04-05,689.0,680.0,675.0,678.0,-1.60,10316
60,EBL,2012-04-08,678.0,690.0,680.0,685.0,1.03,529
61,EBL,2012-04-09,685.0,694.0,690.0,694.0,1.31,3029
62,EBL,2012-04-10,694.0,702.0,691.0,700.0,0.86,3405
63,EBL,2012-04-11,700.0,725.0,705.0,715.0,2.14,3502
64,EBL,2012-04-12,715.0,751.0,718.0,751.0,5.03,4129
65,EBL,2012-04-15,751.0,804.0,751.0,804.0,7.06,6854
66,EBL,2012-04-16,804.0,883.0,820.0,883.0,9.83,415
67,EBL,2012-04-17,883.0,971.0,795.0,796.0,-9.85,15765
68,EBL,2012-04-18,796.0,873.0,760.0,830.0,4.27,11617
69,EBL,2012-04-19,830.0,881.0,830.0,881.0,6.14,3226
70,EBL,2012-04-22,881.0,915.0,875.0,899.0,2.04,10422
71,EBL,2012-04-24,899.0,988.0,911.0,988.0,9.90,1848
72,EBL,2012-04-25,988.0,1086.0,1007.0,1086.0,9.92,1310
73,EBL,2012-04-26,1086.0,1151.0,978.0,1110.0,2.21,15702
74,EBL,2012-04-29,1110.0,1125.0,1051.0,1078.0,-2.88,9521
75,EBL,2012-04-30,1078.0,1099.0,1000.0,1003.0,-6.96,14923
76,EBL,2012-05-02,1003.0,983.0,904.0,909.0,-9.37,2436
77,EBL,2012-05-03,909.0,999.0,927.0,999.0,9.90,11750
78,EBL,2012-05-07,999.0,1058.0,1018.0,1058.0,5.91,3386
79,EBL,2012-05-08,1058.0,1122.0,1066.0,1118.0,5.67,13100
80,EBL,2012-05-09,1118.0,1110.0,1016.0,1060.0,-5.19,8023
81,EBL,2012-05-10,1060.0,1069.0,1010.0,1033.0,-2.55,7737
82,EBL,2012-05-13,1033.0,1020.0,965.0,980.0,-5.13,3325
83,EBL,2012-05-14,980.0,961.0,890.0,905.0,-7.65,9168
84,EBL,2012-05-15,905.0,995.0,923.0,995.0,9.94,860
85,EBL,2012-05-17,995.0,1094.0,1014.0,1070.0,7.54,15047
86,EBL,2012-05-20,1070.0,1074.0,1010.0,1060.0,-0.93,4824
87,EBL,2012-05-21,1060.0,1085.0,1035.0,1084.0,2.26,7022
88,EBL,2012-05-22,1084.0,1063.0,1002.0,1035.0,-4.52,6705
89,EBL,2012-05-23,1035.0,1015.0,935.0,960.0,-7.25,6502
90,EBL,2012-05-24,960.0,1015.0,941.0,1015.0,5.73,6091
91,EBL,2012-05-27,1015.0,1080.0,1025.0,1069.0,5.32,8697
92,EBL,2012-05-29,1069.0,1048.0,1048.0,1048.0,-1.96,20
93,EBL,2012-05-30,1048.0,1028.0,944.0,944.0,-9.92,91
94,EBL,2012-05-31,944.0,934.0,850.0,917.0,-2.86,6011
95,EBL,2012-06-03,917.0,1008.0,917.0,1000.0,9.05,3440
96,EBL,2012-06-04,1000.0,1020.0,971.0,991.0,-0.90,5836
97,EBL,2012-06-05,991.0,972.0,938.0,958.0,-3.33,5137
98,EBL,2012-06-06,958.0,953.0,911.0,953.0,-0.52,1197
99,EBL,2012-06-07,953.0,974.0,935.0,957.0,0.42,4577
100,EBL,2012-06-10,957.0,938.0,900.0,908.0,-5.12,5342
101,EBL,2012-06-11,908.0,955.0,922.0,929.0,2.31,1468
102,EBL,2012-06-12,929.0,955.0,912.0,955.0,2.80,267
103,EBL,2012-06-13,955.0,952.0,930.0,948.0,-0.73,410
104,EBL,2012-06-14,948.0,948.0,930.0,947.0,-0.11,257
105,EBL,2012-06-17,947.0,929.0,910.0,927.0,-2.11,3064
106,EBL,2012-06-18,927.0,927.0,910.0,922.0,-0.54,1954
107,EBL,2012-06-19,922.0,915.0,900.0,905.0,-1.84,9924
108,EBL,2012-06-20,905.0,923.0,900.0,916.0,1.22,18507
109,EBL,2012-06-21,916.0,918.0,900.0,918.0,0.22,96949
110,EBL,2012-06-25,918.0,941.0,911.0,939.0,2.29,1492
111,EBL,2012-06-26,939.0,935.0,900.0,926.0,-1.38,4204
112,EBL,2012-06-27,926.0,949.0,915.0,940.0,1.51,3790
113,EBL,2012-06-28,940.0,955.0,936.0,946.0,0.64,3200
114,EBL,2012-07-01,946.0,950.0,930.0,938.0,-0.85,16001
115,EBL,2012-07-02,938.0,949.0,930.0,944.0,0.64,15297
116,EBL,2012-07-03,944.0,944.0,939.0,940.0,-0.42,4512
117,EBL,2012-07-04,940.0,963.0,933.0,954.0,1.49,10200
118,EBL,2012-07-05,954.0,953.0,940.0,952.0,-0.21,6107
119,EBL,2012-07-08,952.0,952.0,941.0,950.0,-0.21,2373
120,EBL,2012-07-09,950.0,965.0,950.0,965.0,1.58,2901
121,EBL,2012-07-10,965.0,985.0,965.0,985.0,2.07,7467
122,EBL,2012-07-11,985.0,990.0,974.0,980.0,-0.51,5222
123,EBL,2012-07-12,980.0,994.0,975.0,981.0,0.10,59280
124,EBL,2012-07-15,981.0,1039.0,980.0,1033.0,5.30,18211
125,EBL,2012-07-16,1033.0,1013.0,970.0,995.0,-3.68,24941
126,EBL,2012-07-17,995.0,997.0,978.0,990.0,-0.50,2281
127,EBL,2012-07-18,990.0,1038.0,995.0,1038.0,4.85,4388
128,EBL,2012-07-19,1038.0,1060.0,1030.0,1055.0,1.64,7695
129,EBL,2012-07-22,1055.0,1080.0,1050.0,1064.0,0.85,9924
130,EBL,2012-07-23,1064.0,1091.0,1051.0,1080.0,1.50,5864
131,EBL,2012-07-24,1080.0,1082.0,1041.0,1069.0,-1.02,5993
132,EBL,2012-07-25,1069.0,1081.0,1061.0,1072.0,0.28,59028
133,EBL,2012-07-26,1072.0,1072.0,1042.0,1065.0,-0.65,5046
134,EBL,2012-07-29,1065.0,1058.0,1032.0,1051.0,-1.31,7154
135,EBL,2012-07-30,1051.0,1076.0,1042.0,1059.0,0.76,3066
136,EBL,2012-07-31,1059.0,1084.0,1040.0,1060.0,0.09,7345
137,EBL,2012-08-01,1060.0,1065.0,1050.0,1062.0,0.19,14489
138,EBL,2012-08-05,1062.0,1084.0,1065.0,1084.0,2.07,6095
139,EBL,2012-08-06,1084.0,1095.0,1045.0,1077.0,-0.65,6039
140,EBL,2012-08-07,1077.0,1098.0,1077.0,1081.0,0.37,7376
141,EBL,2012-08-08,1081.0,1081.0,1075.0,1080.0,-0.09,1472
142,EBL,2012-08-12,1080.0,1090.0,1071.0,1079.0,-0.09,9649
143,EBL,2012-08-13,1079.0,1085.0,1045.0,1070.0,-0.83,6998
144,EBL,2012-08-14,1070.0,1070.0,1052.0,1057.0,-1.21,14932
145,EBL,2012-08-15,1057.0,1080.0,1050.0,1053.0,-0.38,11458
146,EBL,2012-08-16,1053.0,1065.0,1035.0,1062.0,0.85,6326
147,EBL,2012-08-19,1062.0,1073.0,1050.0,1065.0,0.28,3473
148,EBL,2012-08-21,1065.0,1074.0,1060.0,1064.0,-0.09,7444
149,EBL,2012-08-22,1064.0,1064.0,1055.0,1060.0,-0.38,4555
150,EBL,2012-08-23,1060.0,1063.0,1050.0,1050.0,-0.94,3679
151,EBL,2012-08-26,1050.0,1065.0,1050.0,1055.0,0.48,2846
152,EBL,2012-08-27,1055.0,1065.0,1050.0,1061.0,0.57,3887
153,EBL,2012-08-28,1061.0,1069.0,1057.0,1063.0,0.19,3340
154,EBL,2012-08-29,1063.0,1098.0,1065.0,1097.0,3.20,8128
155,EBL,2012-08-30,1097.0,1110.0,1080.0,1087.0,-0.91,9198
156,EBL,2012-09-02,1087.0,1108.0,1090.0,1105.0,1.66,10791
157,EBL,2012-09-03,1105.0,1119.0,1108.0,1110.0,0.45,8841
158,EBL,2012-09-04,1110.0,1120.0,1090.0,1096.0,-1.26,8673
159,EBL,2012-09-05,1096.0,1098.0,1080.0,1095.0,-0.09,3536
160,EBL,2012-09-06,1095.0,1096.0,1090.0,1091.0,-0.37,3448
161,EBL,2012-09-09,1091.0,1094.0,1080.0,1094.0,0.27,3063
162,EBL,2012-09-10,1094.0,1090.0,1082.0,1085.0,-0.82,2158
163,EBL,2012-09-11,1085.0,1098.0,1082.0,1091.0,0.55,4400
164,EBL,2012-09-12,1091.0,1101.0,1095.0,1097.0,0.55,9867
165,EBL,2012-09-13,1097.0,1119.0,1100.0,1110.0,1.19,7798
166,EBL,2012-09-16,1110.0,1162.0,1115.0,1153.0,3.87,8048
167,EBL,2012-09-17,1153.0,1165.0,1150.0,1155.0,0.17,5436
168,EBL,2012-09-18,1155.0,1166.0,1150.0,1155.0,0.00,3503
169,EBL,2012-09-19,1155.0,1150.0,1111.0,1133.0,-1.90,7809
170,EBL,2012-09-20,1133.0,1139.0,1120.0,1135.0,0.18,4356
171,EBL,2012-09-23,1135.0,1140.0,1100.0,1108.0,-2.38,14010
172,EBL,2012-09-24,1108.0,1111.0,1101.0,1111.0,0.27,4269
173,EBL,2012-09-25,1111.0,1112.0,1104.0,1110.0,-0.09,5222
174,EBL,2012-09-26,1110.0,1119.0,1090.0,1100.0,-0.90,6526
175,EBL,2012-09-27,1100.0,1104.0,1097.0,1100.0,0.00,2671
176,EBL,2012-09-30,1100.0,1105.0,1100.0,1104.0,0.36,2475
177,EBL,2012-10-01,1104.0,1110.0,1100.0,1105.0,0.09,1968
178,EBL,2012-10-02,1105.0,1112.0,1105.0,1111.0,0.54,1556
179,EBL,2012-10-03,1111.0,1115.0,1102.0,1112.0,0.09,3537
180,EBL,2012-10-04,1112.0,1116.0,1108.0,1116.0,0.36,3288
181,EBL,2012-10-07,1116.0,1130.0,1101.0,1130.0,1.25,5722
182,EBL,2012-10-08,1130.0,1141.0,1126.0,1132.0,0.18,4169
183,EBL,2012-10-09,1132.0,1131.0,1122.0,1130.0,-0.18,6909
184,EBL,2012-10-10,1130.0,1140.0,1124.0,1125.0,-0.44,9516
185,EBL,2012-10-11,1125.0,1134.0,1106.0,1129.0,0.36,3706
186,EBL,2012-10-14,1129.0,1142.0,1111.0,1134.0,0.44,7164
187,EBL,2012-10-15,1134.0,1147.0,1126.0,1144.0,0.88,7876
188,EBL,2012-10-17,1144.0,1166.0,1126.0,1160.0,1.40,6699
189,EBL,2012-10-18,1160.0,1179.0,1160.0,1171.0,0.95,11153
190,EBL,2012-10-30,1171.0,985.0,910.0,983.0,-16.05,2400
191,EBL,2012-10-31,983.0,1020.0,995.0,1020.0,3.76,4204
192,EBL,2012-11-01,1020.0,1040.0,1010.0,1014.0,-0.59,1546
193,EBL,2012-11-04,1014.0,1035.0,1012.0,1012.0,-0.20,1752
194,EBL,2012-11-05,1012.0,1039.0,1015.0,1015.0,0.30,3601
195,EBL,2012-11-06,1015.0,1071.0,1030.0,1050.0,3.45,1901
196,EBL,2012-11-07,1050.0,1122.0,1071.0,1122.0,6.86,2338
197,EBL,2012-11-08,1122.0,1213.0,1144.0,1205.0,7.40,6088
198,EBL,2012-11-11,1205.0,1228.0,1116.0,1121.0,-6.97,4239
199,EBL,2012-11-12,1121.0,1160.0,1111.0,1159.0,3.39,2862
200,EBL,2012-11-18,1159.0,1205.0,1150.0,1200.0,3.54,3635
201,EBL,2012-11-20,1200.0,1260.0,1180.0,1252.0,4.33,3478
202,EBL,2012-11-21,1252.0,1256.0,1203.0,1245.0,-0.56,4575
203,EBL,2012-11-22,1245.0,1235.0,1200.0,1235.0,-0.80,3674
204,EBL,2012-11-25,1235.0,1244.0,1211.0,1223.0,-0.97,4981
205,EBL,2012-11-26,1223.0,1225.0,1190.0,1225.0,0.16,32877
206,EBL,2012-11-27,1225.0,1230.0,1210.0,1211.0,-1.14,2035
207,EBL,2012-11-28,1211.0,1220.0,1200.0,1219.0,0.66,2723
208,EBL,2012-11-29,1219.0,1215.0,1190.0,1206.0,-1.07,5155
209,EBL,2012-12-02,1206.0,1195.0,1160.0,1183.0,-1.91,3634
210,EBL,2012-12-03,1183.0,1185.0,1165.0,1169.0,-1.18,2400
211,EBL,2012-12-04,1169.0,1213.0,1181.0,1199.0,2.57,4003
212,EBL,2012-12-05,1199.0,1260.0,1222.0,1245.0,3.84,6400
213,EBL,2012-12-06,1245.0,1240.0,1220.0,1231.0,-1.12,2785
214,EBL,2012-12-09,1231.0,1234.0,1201.0,1201.0,-2.44,2886
215,EBL,2012-12-10,1201.0,1205.0,1140.0,1197.0,-0.33,3889
216,EBL,2012-12-11,1197.0,1199.0,1152.0,1199.0,0.17,2463
217,EBL,2012-12-13,1199.0,1222.0,1190.0,1220.0,1.75,2939
218,EBL,2012-12-16,1220.0,1269.0,1218.0,1255.0,2.87,15378
219,EBL,2012-12-17,1255.0,1320.0,1280.0,1290.0,2.79,27610
220,EBL,2012-12-18,1290.0,1290.0,1260.0,1290.0,0.00,4300
221,EBL,2012-12-19,1290.0,1304.0,1290.0,1302.0,0.93,7954
222,EBL,2012-12-20,1302.0,1320.0,1281.0,1310.0,0.61,9128
223,EBL,2012-12-23,1310.0,1322.0,1300.0,1316.0,0.46,5578
224,EBL,2012-12-24,1316.0,1340.0,1300.0,1336.0,1.52,4096
225,EBL,2012-12-26,1336.0,1390.0,1312.0,1360.0,1.80,6009
226,EBL,2012-12-27,1360.0,1399.0,1333.0,1395.0,2.57,6982
227,EBL,2012-12-31,1395.0,1398.0,1365.0,1380.0,-1.08,4964
228,EBL,2013-01-01,1380.0,1379.0,1356.0,1359.0,-1.52,5369
229,EBL,2013-01-02,1359.0,1365.0,1348.0,1365.0,0.44,6181
230,EBL,2013-01-03,1365.0,1379.0,1352.0,1375.0,0.73,4971
231,EBL,2013-01-06,1375.0,1392.0,1370.0,1375.0,0.00,19711
232,EBL,2013-01-07,1375.0,1380.0,1363.0,1370.0,-0.36,12992
233,EBL,2013-01-08,1370.0,1369.0,1363.0,1366.0,-0.29,1306
234,EBL,2013-01-09,1366.0,1370.0,1360.0,1361.0,-0.37,2910
