,Symbol,Date,Open,High,Low,Close,Percent Change,Volume
0,UPPER,2019-01-13,224.0,224.0,224.0,224.0,0.00,51875
1,UPPER,2019-01-15,235.0,258.0,235.0,258.0,9.79,3685
2,UPPER,2019-01-16,258.0,283.0,258.0,283.0,9.69,3690
3,UPPER,2019-01-17,283.0,311.0,283.0,311.0,9.89,57490
4,UPPER,2019-01-20,326.0,342.0,280.0,292.0,-6.11,729258
5,UPPER,2019-01-21,292.0,292.0,263.0,263.0,-9.93,403770
6,UPPER,2019-01-22,263.0,266.0,237.0,260.0,-1.14,217131
7,UPPER,2019-01-23,260.0,286.0,255.0,278.0,6.92,138867
8,UPPER,2019-01-24,278.0,285.0,270.0,274.0,-1.44,122167
9,UPPER,2019-01-27,274.0,279.0,261.0,267.0,-2.55,121117
10,UPPER,2019-01-28,267.0,270.0,266.0,267.0,0.00,64493
11,UPPER,2019-01-29,267.0,267.0,258.0,260.0,-2.62,95372
12,UPPER,2019-01-30,260.0,260.0,256.0,256.0,-1.54,53226
13,UPPER,2019-01-31,256.0,260.0,253.0,258.0,0.78,57691
14,UPPER,2019-02-03,258.0,258.0,251.0,253.0,-1.94,99156
15,UPPER,2019-02-04,251.0,253.0,245.0,246.0,-2.77,95240
16,UPPER,2019-02-05,246.0,248.0,240.0,243.0,-1.22,104687
17,UPPER,2019-02-06,241.0,243.0,237.0,238.0,-2.06,67848
18,UPPER,2019-02-07,236.0,238.0,233.0,238.0,0.00,59830
19,UPPER,2019-02-10,237.0,238.0,229.0,231.0,-2.94,59960
20,UPPER,2019-02-11,231.0,237.0,227.0,232.0,0.43,61013
21,UPPER,2019-02-12,232.0,232.0,230.0,231.0,-0.43,38083
22,UPPER,2019-02-13,230.0,232.0,229.0,230.0,-0.43,41724
23,UPPER,2019-02-14,227.0,230.0,224.0,228.0,-0.87,69628
24,UPPER,2019-02-17,225.0,231.0,225.0,226.0,-0.88,45386
25,UPPER,2019-02-18,223.0,226.0,220.0,221.0,-2.21,51862
26,UPPER,2019-02-19,223.0,232.0,219.0,232.0,4.98,57539
27,UPPER,2019-02-20,231.0,233.0,223.0,224.0,-3.45,41490
28,UPPER,2019-02-21,222.0,228.0,222.0,225.0,0.45,32296
29,UPPER,2019-02-24,224.0,226.0,220.0,222.0,-1.33,46222
30,UPPER,2019-02-25,220.0,226.0,220.0,224.0,0.90,35508
31,UPPER,2019-02-26,225.0,225.0,221.0,223.0,-0.45,34122
32,UPPER,2019-02-27,224.0,228.0,223.0,224.0,0.45,26480
33,UPPER,2019-03-03,224.0,225.0,222.0,222.0,-0.89,40964
34,UPPER,2019-03-05,222.0,225.0,221.0,224.0,0.90,34553
35,UPPER,2019-03-06,223.0,226.0,222.0,226.0,0.89,25338
36,UPPER,2019-03-07,228.0,231.0,225.0,230.0,1.77,47328
37,UPPER,2019-03-09,230.0,234.0,226.0,230.0,0.00,41255
38,UPPER,2019-03-10,230.0,234.0,226.0,230.0,0.00,41255
39,UPPER,2019-03-11,232.0,238.0,228.0,235.0,2.17,73683
40,UPPER,2019-03-12,235.0,246.0,234.0,245.0,4.26,94823
41,UPPER,2019-03-13,244.0,248.0,237.0,239.0,-2.05,70458
42,UPPER,2019-03-14,240.0,241.0,235.0,240.0,0.00,57279
43,UPPER,2019-03-17,240.0,246.0,240.0,245.0,2.08,59409
44,UPPER,2019-03-18,245.0,248.0,242.0,242.0,-1.22,36699
45,UPPER,2019-03-19,242.0,245.0,241.0,242.0,0.00,19638
46,UPPER,2019-03-21,242.0,245.0,238.0,240.0,-0.83,38970
47,UPPER,2019-03-24,240.0,242.0,235.0,239.0,-0.42,41392
48,UPPER,2019-03-25,238.0,241.0,236.0,240.0,0.42,35260
49,UPPER,2019-03-26,237.0,241.0,237.0,241.0,0.42,31029
50,UPPER,2019-03-27,241.0,241.0,236.0,240.0,-0.41,27337
51,UPPER,2019-03-28,239.0,241.0,238.0,240.0,0.00,24176
52,UPPER,2019-03-31,240.0,241.0,237.0,239.0,-0.42,38545
53,UPPER,2019-04-01,239.0,239.0,236.0,238.0,-0.42,35591
54,UPPER,2019-04-02,237.0,240.0,237.0,237.0,-0.42,30721
55,UPPER,2019-04-03,238.0,240.0,235.0,235.0,-0.84,41796
56,UPPER,2019-04-04,234.0,238.0,235.0,237.0,0.85,45323
57,UPPER,2019-04-07,236.0,237.0,234.0,235.0,-0.84,43463
58,UPPER,2019-04-08,235.0,237.0,232.0,235.0,0.00,43356
59,UPPER,2019-04-09,233.0,236.0,232.0,233.0,-0.85,19124
60,UPPER,2019-04-10,231.0,235.0,231.0,232.0,-0.43,40755
61,UPPER,2019-04-11,232.0,233.0,230.0,232.0,0.00,53054
