"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2022-03-31","603","603","584","585","-1.68","34295"
"UPPER","2022-03-30","583","600","580","595","2.41","42500"
"UPPER","2022-03-29","587","597.7","581","581","-0.85","37124"
"UPPER","2022-03-28","591","599","584","586","-0.85","62385"
"UPPER","2022-03-27","604.1","607","590.2","591","-2.64","70884"
"UPPER","2022-03-24","611","614","602","607","-0.65","54307"
"UPPER","2022-03-23","616","617","610","611","-1.13","41292"
"UPPER","2022-03-22","613","624.9","613","618","0.82","62258"
"UPPER","2022-03-21","603","618","601","613","1.91","59206"
"UPPER","2022-03-20","608","615","600","601.5","0.70","44652"
"UPPER","2022-03-16","616","616","597.2","597.3","-1.11","68527"
"UPPER","2022-03-15","617","624","600.8","604","-2.11","102188"
"UPPER","2022-03-14","626","630","613","617","-1.12","37084"
"UPPER","2022-03-13","620.5","627","611","624","1.98","93478"
"UPPER","2022-03-10","595","614.9","580","611.9","4.22","99110"
"UPPER","2022-03-09","600","608","585.1","587.1","-2.31","74336"
"UPPER","2022-03-07","608.9","615","600.4","601","-1.15","69815"
"UPPER","2022-03-06","615","620","601","608","-0.65","78026"
"UPPER","2022-03-02","647.7","647.7","610","612","-3.62","146443"
"UPPER","2022-02-28","660.9","670","630","635","-2.01","203936"
"UPPER","2022-02-27","635","657","634","648","2.05","101292"
"UPPER","2022-02-24","638","650.7","630","635","-2.46","136037"
"UPPER","2022-02-23","650","660","645","651","0.31","73242"
"UPPER","2022-02-22","659","660","646","649","-0.15","93051"
"UPPER","2022-02-21","640","652","640","650","1.56","59236"
"UPPER","2022-02-20","639","657","625","640","-1.84","133964"
"UPPER","2022-02-17","651","662.5","645","652","0.11","71305"
"UPPER","2022-02-16","664","677","648","651.3","-2.49","110381"
"UPPER","2022-02-15","645","670","639.6","667.9","4.51","93445"
"UPPER","2022-02-14","635","659.9","635","639.1","-1.07","144770"
"UPPER","2022-02-13","690.9","690.9","638","646","-8.37","500474"
"UPPER","2022-02-10","704.7","725","704","705","-1.95","192947"
"UPPER","2022-02-09","723.9","725","711.1","719","-0.68","147342"
"UPPER","2022-02-08","761.9","777","720","723.9","0.00","434928"
"UPPER","2022-02-07","746","758","737","747","0.40","179594"
"UPPER","2022-02-06","740","768","738.1","744","-0.92","300362"
"UPPER","2022-02-03","781.3","781.3","747","750.9","-1.97","311026"
"UPPER","2022-02-01","750","769.9","736","766","3.51","446461"
"UPPER","2022-01-31","740","758","721.3","740","1.90","429295"
"UPPER","2022-01-30","706","731","706","726.2","4.79","194945"
"UPPER","2022-01-27","697","705","690","693","-0.29","92441"
"UPPER","2022-01-26","707","708.9","686","695","-1.70","148123"
"UPPER","2022-01-25","704","720","692","707","0.43","174112"
"UPPER","2022-01-24","730","730","698","704","-4.09","285223"
"UPPER","2022-01-23","745","753.5","732","734","-1.08","179584"
